#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 275 11.3 14.0  2.46 12.90  6.39 999 1020.3  13.4  14.2 999.0 99.0 99.00
2007 01 01 01 00 284 10.8 13.5  2.53 13.79  6.47 999 1020.2  13.5  14.2 999.0 99.0 99.00
2007 01 01 02 00 285 10.1 12.1  2.38 14.81  6.38 999 1020.4  13.2  14.2 999.0 99.0 99.00
2007 01 01 03 00 302  8.7 10.9  2.37 13.79  5.95 999 1020.7  13.2  14.2 999.0 99.0 99.00
2007 01 01 04 00 291 10.7 12.3  2.36 14.81  6.27 999 1020.5  12.9  14.2 999.0 99.0 99.00
2007 01 01 05 00 305  5.9 10.2  2.53 12.90  6.39 999 1021.0  13.2  14.1 999.0 99.0 99.00
2007 01 01 06 00 315  9.2 11.0  2.65 13.79  6.86 999 1020.6  13.0  14.1 999.0 99.0 99.00
2007 01 01 07 00 308  8.4 11.0  2.42 12.90  6.44 999 1020.7  12.7  14.1 999.0 99.0 99.00
2007 01 01 08 00 304  8.3 10.6  2.37 13.79  6.64 999 1020.2  12.6  14.1 999.0 99.0 99.00
2007 01 01 09 00 281  9.6 11.5  2.42 13.79  6.74 999 1019.4  12.5  14.1 999.0 99.0 99.00
2007 01 01 10 00 283  9.8 11.7  2.23 13.79  6.12 999 1019.3  12.3  14.1 999.0 99.0 99.00
2007 01 01 11 00 296 10.1 12.1  2.31 13.79  6.17 999 1019.1  12.5  14.1 999.0 99.0 99.00
2007 01 01 12 00 311  8.8 10.3  2.22 13.79  6.19 999 1019.1  12.6  14.1 999.0 99.0 99.00
2007 01 01 13 00 332  4.5  6.5  2.22 13.79  6.50 999 1019.0  13.1  14.0 999.0 99.0 99.00
2007 01 01 14 00 306  4.0  5.4  1.84 13.79  6.08 999 1019.1  13.0  14.1 999.0 99.0 99.00
2007 01 01 15 00 313  4.0  5.3  1.72 12.90  5.97 999 1019.4  13.1  14.1 999.0 99.0 99.00
2007 01 01 16 00 317  3.5  5.0  1.87 13.79  6.69 999 1019.9  12.7  14.1 999.0 99.0 99.00
2007 01 01 17 00 261  2.5  3.3  1.88 12.90  6.96 999 1020.3  13.3  14.1 999.0 99.0 99.00
2007 01 01 18 00 283  2.2  3.1  1.83 12.90  6.89 999 1020.3  13.5  14.2 999.0 99.0 99.00
2007 01 01 19 00 253  1.4  2.4  1.66 12.12  6.33 999 1020.0  13.8  14.2 999.0 99.0 99.00
2007 01 01 20 00 233  2.4  3.5  1.73 12.12  6.87 999 1019.0  14.4  14.3 999.0 99.0 99.00
2007 01 01 21 00 256  5.5  6.6  1.66 12.90  6.81 999 1018.1  14.9  14.3 999.0 99.0 99.00
2007 01 01 22 00 283  6.9  8.3  1.65 12.12  6.58 999 1017.4  15.6  14.2 999.0 99.0 99.00
2007 01 01 23 00 257  6.3  7.5  1.79 11.43  6.44 999 1017.1  15.6  14.2 999.0 99.0 99.00
2007 01 02 00 00 273  4.5  5.5  1.81 11.43  6.34 999 1017.0  15.7  14.2 999.0 99.0 99.00
2007 01 02 01 00 262  5.3  6.4  1.72 12.90  6.27 999 1017.3  14.8  14.2 999.0 99.0 99.00
2007 01 02 02 00 261  3.0  3.7  1.68 12.12  6.16 999 1017.6  14.8  14.1 999.0 99.0 99.00
2007 01 02 03 00 300  1.0  2.0  1.86 12.90  6.84 999 1017.3  14.5  14.1 999.0 99.0 99.00
2007 01 02 04 00 234  2.6  3.6  1.70 12.12  6.41 999 1017.9  14.4  14.1 999.0 99.0 99.00
2007 01 02 05 00 227  4.7  5.6  1.72 12.90  6.81 999 1018.3  14.2  14.1 999.0 99.0 99.00
2007 01 02 06 00 225  2.6  3.2  1.54 12.12  6.65 999 1018.5  14.2  14.0 999.0 99.0 99.00
2007 01 02 07 00 264  2.8  3.3  1.41 11.43  6.60 999 1018.5  14.0  14.0 999.0 99.0 99.00
2007 01 02 08 00 252  2.2  2.9  1.52 11.43  6.88 999 1018.7  13.8  14.0 999.0 99.0 99.00
2007 01 02 09 00 213  1.2  1.8  1.46 12.12  6.95 999 1018.7  13.7  14.1 999.0 99.0 99.00
2007 01 02 10 00 170  1.0  1.9  1.50 13.79  6.81 999 1019.2  13.8  14.1 999.0 99.0 99.00
2007 01 02 11 00 135  1.8  2.5  1.37 12.90  6.62 999 1019.3  13.8  14.1 999.0 99.0 99.00
2007 01 02 12 00  58  2.1  2.9  1.47 12.12  7.48 999 1019.1  13.8  14.2 999.0 99.0 99.00
2007 01 02 13 00 224  0.4  1.0  1.31 11.43  7.19 999 1018.7  13.4  14.2 999.0 99.0 99.00
2007 01 02 14 00 327  0.4  0.9  1.31 12.12  7.34 999 1018.8  13.3  14.1 999.0 99.0 99.00
2007 01 02 15 00  89  1.1  1.8  1.33 12.12  7.61 999 1019.3  13.4  14.0 999.0 99.0 99.00
2007 01 02 16 00 292  1.4  2.0  1.37 12.90  7.55 999 1020.4  14.1  14.0 999.0 99.0 99.00
2007 01 02 17 00  53  1.9  2.4  1.46 12.12  7.93 999 1020.5  14.5  14.2 999.0 99.0 99.00
2007 01 02 18 00  57  2.3  3.2  1.59 12.12  8.10 999 1020.9  14.5  14.5 999.0 99.0 99.00
2007 01 02 19 00 347  1.7  2.3  1.50 11.43  8.46 999 1021.1  14.8  14.7 999.0 99.0 99.00
