#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 303  2.1  2.6  1.58 13.79  7.75 289 1018.9  14.4  14.1 999.0 99.0 99.00
2008 01 01 01 00 312  2.0  2.6  1.52 12.90  7.81 288 1019.1  14.2  13.9 999.0 99.0 99.00
2008 01 01 02 00 294  1.5  2.2  1.44 13.79  7.73 271 1019.6  13.9  13.8 999.0 99.0 99.00
2008 01 01 03 00 128  0.2  0.4  1.37 13.79  7.50 275 1020.3  14.2  13.6 999.0 99.0 99.00
2008 01 01 04 00  53  1.1  1.8  1.58 13.79  7.94 269 1021.0  13.6  13.4 999.0 99.0 99.00
2008 01 01 05 00 155  0.7  1.4  1.39 13.79  7.97 262 1021.5  13.5  13.3 999.0 99.0 99.00
2008 01 01 06 00 124  2.1  2.9  1.41 12.90  7.91 259 1021.7  14.9  13.3 999.0 99.0 99.00
2008 01 01 07 00  60  0.5  1.1  1.36 12.90  7.28 267 1021.7  13.8  13.3 999.0 99.0 99.00
2008 01 01 08 00  19  1.4  2.1  1.49 13.79  6.72 282 1021.5  13.0  13.3 999.0 99.0 99.00
2008 01 01 09 00 308  1.3  2.1  1.46 12.90  6.49 286 1021.5  13.6  13.3 999.0 99.0 99.00
2008 01 01 10 00  85  4.9  6.7  1.57 12.12  5.95 284 1021.3  15.6  13.2 999.0 99.0 99.00
2008 01 01 11 00 176  2.4  3.1  1.57 12.90  5.85 283 1021.3  15.1  13.3 999.0 99.0 99.00
2008 01 01 12 00 166  1.9  2.4  1.61 12.90  6.28 271 1021.0  15.1  13.2 999.0 99.0 99.00
2008 01 01 13 00  92  6.0  7.3  1.47 13.79  6.06 270 1020.9  15.1  13.1 999.0 99.0 99.00
2008 01 01 14 00  95  4.4  5.6  1.48 12.90  5.71 273 1021.2  14.5  13.1 999.0 99.0 99.00
2008 01 01 15 00  85  1.9  2.5  1.50 12.90  5.74 293 1021.7  13.1  13.2 999.0 99.0 99.00
2008 01 01 16 00  58  2.1  3.1  1.37 12.90  6.01 276 1021.7  13.3  13.1 999.0 99.0 99.00
