#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 328 12.8 15.2  3.15 14.29  8.01 999 1022.2  11.9  13.6 999.0 99.0 99.00
2007 01 01 01 00 322 13.9 16.7  3.55 14.29  8.39 999 1022.0  12.1  13.6 999.0 99.0 99.00
2007 01 01 02 00 320 14.6 17.6 99.00 99.00 99.00 999 1022.3  12.1  13.6 999.0 99.0 99.00
2007 01 01 03 00 999 99.0 17.2 99.00 99.00 99.00 999 1022.2 999.0  13.4 999.0 99.0 99.00
2007 01 01 04 00 324 14.2 99.0 99.00 99.00 99.00 999 1022.1  11.8 999.0 999.0 99.0 99.00
2007 01 01 05 00 318 13.4 16.1 99.00 99.00 99.00 999 1022.7  12.0  12.9 999.0 99.0 99.00
2007 01 01 06 00 323 12.8 15.6  3.16 14.29  7.44 999 1022.2  12.0  12.9 999.0 99.0 99.00
2007 01 01 07 00 320 11.9 15.1 99.00 99.00 99.00 999 1022.6  12.0 999.0 999.0 99.0 99.00
2007 01 01 08 00 310 11.9 14.6 99.00 99.00 99.00 999 1021.9  11.6  12.9 999.0 99.0 99.00
2007 01 01 09 00 313 14.6 17.8  3.28 14.29  7.56 999 1021.3  11.6  12.9 999.0 99.0 99.00
2007 01 01 10 00 315 14.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 01 11 00 318 14.2 99.0 99.00 99.00 99.00 999 1021.1  11.9  13.0 999.0 99.0 99.00
2007 01 01 12 00 326 11.8 14.0 99.00 99.00 99.00 999 1020.8  11.7  13.3 999.0 99.0 99.00
2007 01 01 14 00 329 13.6 99.0 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2007 01 01 15 00 344 15.3 17.9 99.00 99.00 99.00 999 1019.5  11.7  12.9 999.0 99.0 99.00
2007 01 01 16 00 328 14.8 17.0  2.80 12.50  7.45 999 1021.0  11.9  12.9 999.0 99.0 99.00
2007 01 01 17 00 325 13.4 15.8  2.59 14.29  7.14 999 1021.3  11.8  13.3 999.0 99.0 99.00
2007 01 01 18 00 326 13.1 15.3  2.99 12.50  7.85 999 1021.0  11.8  13.3 999.0 99.0 99.00
2007 01 01 19 00 321  9.8 12.5  2.66 14.29  7.34 999 1021.1  12.6  13.3 999.0 99.0 99.00
2007 01 01 20 00 319 13.7 15.4  2.70 12.50  7.31 999 1019.7  12.5  13.4 999.0 99.0 99.00
2007 01 01 21 00 324 12.8 15.6  2.73 12.50  7.19 999 1018.7  12.9  13.6 999.0 99.0 99.00
2007 01 01 22 00 319 12.7 14.9  2.77 12.50  7.02 999 1018.0  12.9  13.6 999.0 99.0 99.00
2007 01 01 23 00 322 13.1 15.3  2.44 11.11  6.63 999 1017.6  12.9  13.4 999.0 99.0 99.00
2007 01 02 00 00 318 12.7 15.0  2.61 12.50  6.76 999 1017.7  12.8  13.4 999.0 99.0 99.00
2007 01 02 01 00 323 12.9 16.2  2.48 12.50  6.33 999 1017.9  13.3  13.4 999.0 99.0 99.00
2007 01 02 02 00 321 10.5 12.2 99.00 99.00 99.00 999 9999.0 999.0  13.4 999.0 99.0 99.00
2007 01 02 03 00 320  8.0 99.0 99.00 99.00 99.00 999 1017.8  13.6  13.3 999.0 99.0 99.00
2007 01 02 04 00 333  7.8  9.0 99.00 99.00 99.00 999 1018.0  14.0  13.4 999.0 99.0 99.00
2007 01 02 06 00 320  4.8 99.0 99.00 99.00 99.00 999 9999.0  13.7 999.0 999.0 99.0 99.00
2007 01 02 07 00 349  3.7  4.6 99.00 99.00 99.00 999 1018.6  14.0  13.3 999.0 99.0 99.00
2007 01 02 09 00 332  4.1  4.8 99.00 99.00 99.00 999 9999.0 999.0  13.3 999.0 99.0 99.00
2007 01 02 10 00   2  4.1 99.0 99.00 99.00 99.00 999 1018.9  13.7  13.3 999.0 99.0 99.00
2007 01 02 11 00 277  0.6  1.7 99.00 99.00 99.00 999 1019.0  13.6  13.3 999.0 99.0 99.00
2007 01 02 13 00 336  0.8 99.0 99.00 99.00 99.00 999 9999.0  13.6 999.0 999.0 99.0 99.00
2007 01 02 14 00  42  3.7  4.5 99.00 99.00 99.00 999 1018.7  13.2  13.3 999.0 99.0 99.00
2007 01 02 15 00  32  2.5  3.0  1.95 12.50  9.22 999 1019.3  12.8  13.3 999.0 99.0 99.00
2007 01 02 16 00  38  1.9  3.1  1.97 12.50  8.97 999 1020.0  13.3  13.3 999.0 99.0 99.00
2007 01 02 17 00 355  0.6  1.1  2.01 11.11  8.96 999 1020.5  13.6  13.4 999.0 99.0 99.00
2007 01 02 18 00 323  2.1  2.9  2.24 14.29  9.36 999 1021.2  13.6  13.4 999.0 99.0 99.00
2007 01 02 19 00  36  1.3  1.9  2.15 11.11  8.88 999 1021.1  13.6  13.4 999.0 99.0 99.00
2007 01 02 20 00  15  0.8  1.3  2.17 12.50  9.06 999 1019.6  14.1  13.6 999.0 99.0 99.00
2007 01 02 21 00  82  1.1  1.8  2.24 11.11  8.96 999 1018.8  14.2  13.6 999.0 99.0 99.00
2007 01 02 22 00 344  1.6  2.2  2.05 12.50  8.31 999 1018.7  14.5  13.7 999.0 99.0 99.00
2007 01 02 23 00 282  5.4  6.6  2.07 14.29  8.47 999 1018.7  13.4  13.6 999.0 99.0 99.00
2007 01 03 00 00 320  5.5  6.5  1.98 14.29  8.10 999 1018.8  13.4  13.6 999.0 99.0 99.00
2007 01 03 01 00 301  3.0  3.8  1.98 12.50  8.12 999 1018.6  13.6  13.5 999.0 99.0 99.00
2007 01 03 03 00 318  6.0  7.2 99.00 99.00 99.00 999 1018.7  14.7 999.0 999.0 99.0 99.00
2007 01 03 04 00 306  8.4 10.1 99.00 99.00 99.00 999 1018.8  13.6  13.3 999.0 99.0 99.00
2007 01 03 05 00 303  7.4  9.2  2.46 14.29  8.80 999 1018.7  13.5  13.4 999.0 99.0 99.00
2007 01 03 06 00 999 99.0  9.0 99.00 99.00 99.00 999 1017.9  13.4  13.6 999.0 99.0 99.00
2007 01 03 07 00 310  8.7 99.0 99.00 99.00 99.00 999 1018.2  13.6 999.0 999.0 99.0 99.00
2007 01 03 08 00 310  9.1 10.3 99.00 99.00 99.00 999 1017.8  13.3  13.7 999.0 99.0 99.00
2007 01 03 10 00 311 10.3 12.4 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 03 11 00 311  8.7 10.7 99.00 99.00 99.00 999 1018.2  13.3  13.5 999.0 99.0 99.00
2007 01 03 12 00 313  9.6 11.5  2.29 12.50  7.39 999 1017.5  12.9  13.6 999.0 99.0 99.00
2007 01 03 13 00 999 99.0 99.0  2.45 12.50  7.42 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 03 14 00 318 11.7 99.0 99.00 99.00 99.00 999 1018.0  12.6 999.0 999.0 99.0 99.00
2007 01 03 15 00 312 12.4 14.5 99.00 99.00 99.00 999 1018.1  12.1  13.4 999.0 99.0 99.00
2007 01 03 16 00 316 11.7 13.7  2.45 12.50  7.10 999 1018.7  12.0  13.4 999.0 99.0 99.00
