#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 319  3.5  4.3  2.92 14.29 10.14 999 1018.7  13.2  12.9 999.0 99.0 99.00
2008 01 01 01 00   2  3.6  4.3  2.80 14.29  9.91 999 1018.8  13.4  12.8 999.0 99.0 99.00
2008 01 01 02 00 329  1.3 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 01 03 00 353  2.7 99.0 99.00 99.00 99.00 999 1019.6  14.0  12.6 999.0 99.0 99.00
2008 01 01 04 00  21  2.5  3.0  3.01 14.29 11.15 999 1020.3  13.6  12.6 999.0 99.0 99.00
2008 01 01 05 00 999 99.0  3.8 99.00 99.00 99.00 999 1021.0 999.0  12.5 999.0 99.0 99.00
2008 01 01 06 00  82  5.2 99.0 99.00 99.00 99.00 999 1021.9  14.4 999.0 999.0 99.0 99.00
2008 01 01 07 00  73  6.1  7.7 99.00 99.00 99.00 999 1021.2  14.1  12.5 999.0 99.0 99.00
2008 01 01 09 00  85  5.7  6.9 99.00 99.00 99.00 999 9999.0 999.0  12.2 999.0 99.0 99.00
2008 01 01 10 00  85  7.6  9.7 99.00 99.00 99.00 999 1021.1  14.2  12.2 999.0 99.0 99.00
2008 01 01 11 00  86  8.6 10.2 99.00 99.00 99.00 999 1020.8  14.4  12.1 999.0 99.0 99.00
2008 01 01 12 00  99  7.4  9.0  2.64 14.29  7.77 999 1020.6  14.2  12.2 999.0 99.0 99.00
2008 01 01 13 00  90  8.0 99.0 99.00 99.00 99.00 999 9999.0  14.4 999.0 999.0 99.0 99.00
2008 01 01 14 00  86  9.2 11.9 99.00 99.00 99.00 999 1020.9  13.8  12.1 999.0 99.0 99.00
2008 01 01 15 00 109  7.3  8.8  2.44 14.29  7.32 999 1021.1  13.4  12.1 999.0 99.0 99.00
2008 01 01 16 00 105  9.4 11.5  2.23 14.29  7.19 999 1021.5  13.6  12.1 999.0 99.0 99.00
2008 01 01 17 00 106  4.3  5.3  2.00 14.29  6.82 999 1022.4  13.7  12.1 999.0 99.0 99.00
2008 01 01 18 00  93  9.7 11.8  2.17 14.29  6.87 999 1022.7  14.2  12.1 999.0 99.0 99.00
2008 01 01 19 00  85  8.4  9.8  2.16 14.29  7.02 999 1022.2  13.7  12.1 999.0 99.0 99.00
2008 01 01 20 00 101  8.6 10.1  2.01 14.29  6.68 999 1020.8  14.1  12.1 999.0 99.0 99.00
2008 01 01 21 00 104  7.9 10.2  1.79 12.50  6.58 999 1019.7  14.5  12.1 999.0 99.0 99.00
2008 01 01 22 00 105  5.0  6.0  1.99 12.50  7.37 999 1019.3  14.2  12.1 999.0 99.0 99.00
2008 01 01 23 00  69  5.2  6.1  1.67 12.50  7.29 999 1019.1  14.4  12.0 999.0 99.0 99.00
2008 01 02 00 00  81  5.1  5.8  1.60 12.50  7.37 999 1018.9  14.3  12.0 999.0 99.0 99.00
2008 01 02 01 00  88  3.5  4.5  1.61 12.50  7.51 999 1019.0  14.0  11.9 999.0 99.0 99.00
2008 01 02 02 00  90  6.9  8.0 99.00 99.00 99.00 999 9999.0 999.0  12.1 999.0 99.0 99.00
2008 01 02 03 00 107  7.1 99.0 99.00 99.00 99.00 999 1019.1  15.1  12.1 999.0 99.0 99.00
2008 01 02 04 00  94  6.1  7.2 99.00 99.00 99.00 999 1019.3  14.5  12.1 999.0 99.0 99.00
2008 01 02 05 00 999 99.0 99.0  1.42 11.11  6.70 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 02 06 00 111  3.1 99.0 99.00 99.00 99.00 999 1019.4  14.3 999.0 999.0 99.0 99.00
2008 01 02 07 00  55  1.3  1.9 99.00 99.00 99.00 999 1019.6  13.3  11.7 999.0 99.0 99.00
2008 01 02 08 00  88  3.4  3.8  1.21 12.50  6.25 999 1019.4  14.0  11.4 999.0 99.0 99.00
2008 01 02 09 00  75  4.2  5.3  1.21 12.50  6.43 999 1018.9  13.7  11.4 999.0 99.0 99.00
2008 01 02 10 00  38  3.6 99.0 99.00 99.00 99.00 999 1018.9  12.9  11.6 999.0 99.0 99.00
2008 01 02 11 00  62  1.9 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 02 12 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2008 01 02 13 00  77  2.6 99.0 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2008 01 02 14 00  73  4.2  4.9 99.00 99.00 99.00 999 1018.7  13.3  11.7 999.0 99.0 99.00
2008 01 02 16 00  74  5.5  6.6  0.93  9.09  5.94 999 1018.9  13.4  11.4 999.0 99.0 99.00
2008 01 02 17 00 110  5.4  6.3  0.90 12.50  5.32 999 1019.4  14.4  11.5 999.0 99.0 99.00
2008 01 02 18 00 105  5.0  5.6  0.84 12.50  5.64 999 1019.6  13.2  11.7 999.0 99.0 99.00
2008 01 02 19 00  95  5.7  6.4  0.91 20.00  5.99 999 1019.4  13.3  11.7 999.0 99.0 99.00
2008 01 02 20 00 115  6.8  7.8  0.90 16.67  5.68 999 1018.5  13.7  11.7 999.0 99.0 99.00
2008 01 02 21 00 118  7.0 99.0 99.00 99.00 99.00 999 9999.0  14.5 999.0 999.0 99.0 99.00
2008 01 02 22 00 192  2.6  3.5 99.00 99.00 99.00 999 1017.2  13.7  12.1 999.0 99.0 99.00
2008 01 02 23 00 290  0.4  1.1  0.80 12.50  6.92 999 1017.1  13.3  12.5 999.0 99.0 99.00
2008 01 03 00 00 248  0.5  2.0  0.85 16.67  7.53 999 1017.1  13.8  12.5 999.0 99.0 99.00
2008 01 03 01 00 347  0.3  0.9  0.81 16.67  7.11 999 1017.2  12.9  12.2 999.0 99.0 99.00
2008 01 03 02 00 162  4.0 99.0 99.00 99.00 99.00 999 1017.9  13.4 999.0 999.0 99.0 99.00
2008 01 03 03 00 219  3.3 99.0 99.00 99.00 99.00 999 1018.0  13.4 999.0 999.0 99.0 99.00
2008 01 03 04 00 231  0.8  1.5  0.96 16.67  7.36 999 1017.9  12.6  11.7 999.0 99.0 99.00
2008 01 03 05 00 209  0.6  1.2 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 03 06 00 108  1.3  2.0 99.00 99.00 99.00 999 1018.1  12.0  11.7 999.0 99.0 99.00
2008 01 03 07 00  85  1.2  1.6 99.00 99.00 99.00 999 1018.0  11.8  11.7 999.0 99.0 99.00
2008 01 03 08 00 999 99.0  2.1  0.90 16.67 10.33 999 1017.9 999.0  11.7 999.0 99.0 99.00
2008 01 03 09 00  48  0.8 99.0 99.00 99.00 99.00 999 1017.8  11.8 999.0 999.0 99.0 99.00
2008 01 03 10 00 146  0.3  0.7 99.00 99.00 99.00 999 1017.7  11.7  11.8 999.0 99.0 99.00
2008 01 03 11 00 230  1.1  1.6  1.01 14.29 11.96 999 1017.9  11.5  11.8 999.0 99.0 99.00
2008 01 03 12 00   0  0.0 99.0 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2008 01 03 13 00   0  0.0  0.3 99.00 99.00 99.00 999 1017.2  11.3  11.9 999.0 99.0 99.00
2008 01 03 14 00   0  0.0  0.0  1.43 14.29 13.21 999 1017.4  11.4  11.8 999.0 99.0 99.00
2008 01 03 15 00 104  2.3  2.9 99.00 99.00 99.00 999 9999.0 999.0  11.8 999.0 99.0 99.00
2008 01 03 16 00  94  2.9  3.6  1.56 14.29 12.95 999 1017.6  11.7  11.8 999.0 99.0 99.00
2008 01 03 17 00  89  2.2  3.3  1.96 14.29 13.26 999 1017.9  11.7  12.0 999.0 99.0 99.00
2008 01 03 18 00  86  1.2  2.1  1.99 14.29 12.74 999 1018.5  11.8  12.1 999.0 99.0 99.00
2008 01 03 19 00  99  3.0  4.0  2.10 14.29 13.05 999 1018.4  12.1  12.1 999.0 99.0 99.00
2008 01 03 20 00 150  2.4  2.9  2.02 14.29 12.53 999 1018.3  12.1  12.1 999.0 99.0 99.00
2008 01 03 21 00 212  1.9  2.6  2.06 14.29 12.50 999 1017.9  11.8  12.1 999.0 99.0 99.00
2008 01 03 22 00 170  4.8  5.4  2.33 14.29 13.08 999 1016.6  12.5  12.1 999.0 99.0 99.00
2008 01 03 23 00 182  3.6  4.7  2.46 14.29 12.72 999 1016.1  12.1  12.5 999.0 99.0 99.00
2008 01 04 00 00 211  1.7  2.6  2.15 14.29 12.61 999 1016.3  12.1  12.6 999.0 99.0 99.00
2008 01 04 01 00  67  1.0  1.9  2.15 14.29 12.66 999 1016.5  12.5  12.5 999.0 99.0 99.00
2008 01 04 02 00 146  1.2 99.0 99.00 99.00 99.00 999 1016.5  12.1  12.5 999.0 99.0 99.00
2008 01 04 03 00 155  2.7  3.9 99.00 99.00 99.00 999 1016.4  12.1  12.5 999.0 99.0 99.00
2008 01 04 04 00 161  3.6  4.7  2.47 14.29 12.62 999 1016.6  12.1  12.3 999.0 99.0 99.00
2008 01 04 05 00 143  5.9  7.4 99.00 99.00 99.00 999 9999.0  12.1 999.0 999.0 99.0 99.00
2008 01 04 06 00 143  4.3  6.1 99.00 99.00 99.00 999 1017.6  12.1  12.2 999.0 99.0 99.00
2008 01 04 07 00 147  5.3  6.2 99.00 99.00 99.00 999 1018.0  12.1  12.2 999.0 99.0 99.00
2008 01 04 08 00 999  5.4  6.2 99.00 99.00 99.00 999 1017.2 999.0  12.2 999.0 99.0 99.00
2008 01 04 09 00 136  5.6 99.0 99.00 99.00 99.00 999 1017.2  12.1  12.1 999.0 99.0 99.00
2008 01 04 10 00 123  6.6  7.9 99.00 99.00 99.00 999 1017.1  12.1  12.1 999.0 99.0 99.00
2008 01 04 11 00 117  7.8  9.5  2.27 14.29 11.04 999 1016.6  12.2  12.1 999.0 99.0 99.00
2008 01 04 12 00 117  8.8 99.0 99.00 99.00 99.00 999 9999.0  12.2 999.0 999.0 99.0 99.00
2008 01 04 13 00 130 10.2 12.0  2.17 14.29  8.57 999 1015.3  12.5  12.1 999.0 99.0 99.00
2008 01 04 14 00 118 10.6 12.4  2.13 14.29  7.44 999 1015.4  12.5  12.1 999.0 99.0 99.00
2008 01 04 15 00 121 99.0 12.4 99.00 99.00 99.00 999 9999.0 999.0  12.1 999.0 99.0 99.00
2008 01 04 16 00 115 13.1 16.0  2.35 14.29  7.14 999 1014.8  12.8  12.2 999.0 99.0 99.00
2008 01 04 17 00 119 12.4 14.8  2.31 14.29  6.07 999 1015.1  12.6  12.2 999.0 99.0 99.00
2008 01 04 18 00 125 10.8 12.8  2.37 14.29  6.62 999 1016.0  12.2  12.2 999.0 99.0 99.00
2008 01 04 19 00 135 10.8 14.1  2.27 14.29  6.09 999 1015.6  12.5  12.2 999.0 99.0 99.00
2008 01 04 20 00 137 12.4 15.5  2.22 14.29  5.84 999 1014.4  12.8  12.2 999.0 99.0 99.00
2008 01 04 21 00 143 11.2 13.0  2.35 12.50  5.86 999 1013.4  12.8  12.2 999.0 99.0 99.00
2008 01 04 22 00 154 11.6 13.8  2.46 14.29  5.75 999 1012.5  12.9  12.2 999.0 99.0 99.00
2008 01 04 23 00 161 11.7 13.6  2.22 14.29  5.58 999 1011.4  13.0  12.2 999.0 99.0 99.00
2008 01 05 00 00 168 13.3 16.7  2.43 14.29  5.70 999 1010.9  13.4  12.2 999.0 99.0 99.00
2008 01 05 01 00 180 12.3 14.5 99.00 99.00 99.00 999 1010.3  13.4  12.1 999.0 99.0 99.00
2008 01 05 02 00 999 99.0 14.2 99.00 99.00 99.00 999 1010.0 999.0  12.1 999.0 99.0 99.00
2008 01 05 03 00 186 12.1 99.0 99.00 99.00 99.00 999 1009.4  13.4 999.0 999.0 99.0 99.00
2008 01 05 04 00 193 13.0 15.5 99.00 99.00 99.00 999 1009.2  13.4  12.5 999.0 99.0 99.00
2008 01 05 05 00 211 14.3 18.5  2.95 12.50  6.79 999 1009.8  13.6  12.2 999.0 99.0 99.00
2008 01 05 06 00 304  9.4 99.0 99.00 99.00 99.00 999 1011.0 999.0 999.0 999.0 99.0 99.00
2008 01 05 07 00 322  6.0  7.2 99.00 99.00 99.00 999 1011.8  11.4  12.1 999.0 99.0 99.00
2008 01 05 08 00 329  2.5  4.0 99.00 99.00 99.00 999 1011.7  11.0  12.1 999.0 99.0 99.00
2008 01 05 09 00 999 99.0  2.8 99.00 99.00 99.00 999 1011.8  11.4  12.1 999.0 99.0 99.00
2008 01 05 10 00 248  3.0  3.7 99.00 99.00 99.00 999 1012.3  11.3 999.0 999.0 99.0 99.00
2008 01 05 11 00 232  3.8  5.0 99.00 99.00 99.00 999 1012.3  11.6  12.1 999.0 99.0 99.00
2008 01 05 12 00 999 99.0  4.4 99.00 99.00 99.00 999 1011.8  11.7  12.1 999.0 99.0 99.00
2008 01 05 13 00 235  4.0 99.0 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2008 01 05 14 00 279  1.7  3.1 99.00 99.00 99.00 999 1012.3  11.8  12.1 999.0 99.0 99.00
2008 01 05 15 00 321  0.8  1.8  3.83 14.29 10.37 999 1013.1  11.8  12.1 999.0 99.0 99.00
2008 01 05 16 00 207  0.7  1.8  4.52 16.67 11.40 999 1013.2  11.8  12.2 999.0 99.0 99.00
2008 01 05 17 00 164  0.6  2.0  5.63 20.00 12.87 999 1013.4  12.1  12.2 999.0 99.0 99.00
2008 01 05 18 00 191  2.9  3.6  5.33 20.00 12.71 999 1014.1  12.1  12.2 999.0 99.0 99.00
2008 01 05 19 00 194  2.4  3.5  6.40 20.00 13.68 999 1014.5  12.1  12.2 999.0 99.0 99.00
2008 01 05 20 00 164  3.0  4.3  6.46 20.00 13.35 999 1014.1  12.1  12.2 999.0 99.0 99.00
2008 01 05 21 00 172  1.8  3.3  5.49 20.00 12.12 999 1013.3  12.1  12.5 999.0 99.0 99.00
2008 01 05 22 00 163  2.1  3.9  6.14 16.67 12.17 999 1012.9  12.2  12.5 999.0 99.0 99.00
2008 01 05 23 00 167  2.8  4.4  6.17 20.00 12.65 999 1012.1  12.5  12.5 999.0 99.0 99.00
2008 01 06 00 00 185  2.5  4.0  6.72 16.67 13.17 999 1011.9  12.3  12.5 999.0 99.0 99.00
2008 01 06 01 00 180  4.8  6.3  6.12 16.67 12.27 999 1012.1  12.0  12.4 999.0 99.0 99.00
2008 01 06 02 00 166  4.6  5.9  5.97 20.00 12.32 999 1011.8  11.8  12.2 999.0 99.0 99.00
2008 01 06 04 00 180  4.8 99.0 99.00 99.00 99.00 999 1011.8  12.1  12.1 999.0 99.0 99.00
2008 01 06 05 00 185  6.4  7.9 99.00 99.00 99.00 999 1011.9  12.5  12.1 999.0 99.0 99.00
2008 01 06 06 00 203 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 06 07 00 220  8.3 99.0 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2008 01 06 08 00 244  6.0  7.3 99.00 99.00 99.00 999 1012.7  12.6  12.1 999.0 99.0 99.00
2008 01 06 09 00 233  5.3  6.4  4.50 16.67 11.06 999 1012.5  12.6  12.1 999.0 99.0 99.00
2008 01 06 10 00 246  5.4  6.6  4.20 16.67 10.64 999 1012.7  12.6  12.1 999.0 99.0 99.00
2008 01 06 11 00 267  6.9 99.0 99.00 99.00 99.00 999 1012.6  12.2  12.1 999.0 99.0 99.00
2008 01 06 12 00 283  7.5  9.5 99.00 99.00 99.00 999 1013.0  12.1  12.2 999.0 99.0 99.00
2008 01 06 13 00 299  7.5  9.3  4.20 16.67 10.51 999 1012.9  11.8  12.2 999.0 99.0 99.00
2008 01 06 14 00 292  8.0 10.4 99.00 99.00 99.00 999 9999.0  11.9 999.0 999.0 99.0 99.00
2008 01 06 15 00 290  6.5 99.0 99.00 99.00 99.00 999 1013.9  11.8  12.5 999.0 99.0 99.00
2008 01 06 16 00 295  6.7  8.3  4.10 16.67 10.85 999 1014.7  11.8  12.5 999.0 99.0 99.00
2008 01 06 17 00 302  5.6  6.9 99.00 99.00 99.00 999 1015.4  11.7  12.5 999.0 99.0 99.00
2008 01 06 18 00 311  3.5  4.9  4.22 14.29 10.96 999 1016.1  11.8  12.5 999.0 99.0 99.00
2008 01 06 19 00 297  0.9  2.3  3.99 14.29 10.43 999 1015.7  11.3  12.5 999.0 99.0 99.00
2008 01 06 20 00 205  1.1  1.8  3.40 14.29 10.03 999 1015.3  11.4  12.5 999.0 99.0 99.00
2008 01 06 21 00 161  1.9  3.0  3.60 14.29 10.09 999 1014.7  11.4  12.5 999.0 99.0 99.00
2008 01 06 22 00 201  4.5 99.0 99.00 99.00 99.00 999 1013.5  11.8  12.5 999.0 99.0 99.00
2008 01 06 23 00 185  5.0  6.1  3.94 14.29 10.78 999 1013.1  11.7  12.5 999.0 99.0 99.00
2008 01 07 00 00 190  6.7  8.9  3.73 14.29 10.31 999 1012.7  11.0  12.5 999.0 99.0 99.00
2008 01 07 01 00 174  8.2  9.7  3.74 14.29  9.86 999 1011.8  10.3  12.4 999.0 99.0 99.00
2008 01 07 02 00 153  5.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 07 03 00 119  7.9 99.0 99.00 99.00 99.00 999 1010.3   9.6 999.0 999.0 99.0 99.00
2008 01 07 04 00 103  7.5  9.5 99.00 99.00 99.00 999 1010.4   9.6  12.2 999.0 99.0 99.00
2008 01 07 05 00  90 10.3 12.5 99.00 99.00 99.00 999 1009.5 999.0  12.2 999.0 99.0 99.00
2008 01 07 06 00  91 12.5 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 07 07 00  78 12.1 15.0 99.00 99.00 99.00 999 1008.1   9.3  12.2 999.0 99.0 99.00
2008 01 07 10 00  31  7.1 99.0 99.00 99.00 99.00 999 9999.0   9.0 999.0 999.0 99.0 99.00
2008 01 07 11 00 340  3.5  4.7 99.00 99.00 99.00 999 1010.1   9.5  11.8 999.0 99.0 99.00
2008 01 07 12 00 322 11.3 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 07 14 00 328 12.9 15.0  2.86 12.50  7.49 999 1012.4  10.5  11.8 999.0 99.0 99.00
2008 01 07 15 00 999 99.0 13.8  3.17 12.50  8.01 999 1014.0 999.0  11.7 999.0 99.0 99.00
2008 01 07 16 00 335 10.2 12.3  3.22 12.50  8.25 999 1015.2  10.2  11.8 999.0 99.0 99.00
2008 01 07 17 00 331 10.3 12.2  2.99 12.50  8.15 999 1016.4  10.2  11.8 999.0 99.0 99.00
