#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50  15  7.8  9.0  2.72  9.09  7.68 305 1016.8  13.2  14.6 999.0 99.0 99.00
2015 01 01 00 50 310  5.1  6.9  2.70 10.00  7.53 306 1017.2  13.4  14.6 999.0 99.0 99.00
2015 01 01 01 50 360  7.3  9.3  2.49 10.00  7.69 305 1017.3  13.3  14.6 999.0 99.0 99.00
2015 01 01 02 50   2  4.3  5.8  2.13  9.09  7.39 296 1017.7  13.2  14.6 999.0 99.0 99.00
2015 01 01 03 50 338  6.2  7.4  2.14  7.69  7.13 302 1017.9  12.7  14.6 999.0 99.0 99.00
2015 01 01 04 50 340  6.3  8.4  2.25 10.00  7.58 301 1018.2  12.8  14.6 999.0 99.0 99.00
2015 01 01 05 50 339  5.8  7.2  1.99  9.09  7.20 300 1018.1  12.5  14.6 999.0 99.0 99.00
2015 01 01 06 50 336  6.3  8.2  2.14  9.09  7.51 302 1017.9  12.3  14.6 999.0 99.0 99.00
2015 01 01 07 50 340  4.5  5.9  1.97  9.09  7.24 299 1017.9  12.1  14.6 999.0 99.0 99.00
2015 01 01 08 50 336  4.2  5.9  1.88  8.33  7.09 295 1017.9  12.2  14.6 999.0 99.0 99.00
2015 01 01 09 50 349  2.6  3.8  1.83  7.69  7.09 301 1017.7  12.0  14.6 999.0 99.0 99.00
2015 01 01 10 50 331  2.2  3.1  1.60  7.69  6.74 304 1017.9  12.0  14.6 999.0 99.0 99.00
2015 01 01 11 50  19  2.1  3.0  1.49  9.09  6.70 295 1017.6  11.9  14.6 999.0 99.0 99.00
2015 01 01 12 50  18  1.9  2.8  1.51  7.69  6.64 296 1017.4  11.8  14.7 999.0 99.0 99.00
2015 01 01 13 50  65  1.7  2.7  1.40  7.69  6.36 298 1017.6  11.9  14.7 999.0 99.0 99.00
2015 01 01 14 50  99  1.7  2.4  1.33  7.69  6.63 295 1018.2  12.0  14.7 999.0 99.0 99.00
2015 01 01 15 50  88  3.3  4.1  1.32  7.69  6.60 291 1018.8  12.4  14.7 999.0 99.0 99.00
2015 01 01 16 50 103  3.7  4.5  1.25  7.14  6.63 285 1019.5  12.6  14.7 999.0 99.0 99.00
2015 01 01 17 50 104  3.7  5.0  1.10  9.09  6.70 292 1020.4  12.7  14.7 999.0 99.0 99.00
2015 01 01 18 50 136  3.2  4.2  0.99 12.90  6.75 294 1020.2  12.8  14.8 999.0 99.0 99.00
2015 01 01 19 50 138  2.6  3.5  0.97 10.00  6.80 292 1019.7  12.8  14.8 999.0 99.0 99.00
2015 01 01 20 50 138  2.3  3.0  0.94  8.33  6.92 299 1018.8  12.9  15.0 999.0 99.0 99.00
2015 01 01 21 50 135  1.8  2.7  1.00  9.09  7.10 303 1018.7  13.0  15.1 999.0 99.0 99.00
2015 01 01 22 50 180  1.4  1.9  0.97 12.12  6.66 284 1018.9  13.4  15.1 999.0 99.0 99.00
2015 01 01 23 50 128  1.5  2.4  0.99  8.33  6.69 300 1019.2  13.3  15.1 999.0 99.0 99.00
2015 01 02 00 50 129  1.5  2.1  0.98  9.09  6.72 298 1019.4  13.0  15.0 999.0 99.0 99.00
2015 01 02 01 50 155  1.0  1.8  1.10  8.33  7.30 304 1019.7  12.9  15.0 999.0 99.0 99.00
2015 01 02 02 50 177  1.1  1.6  1.04  8.33  7.13 307 1019.8  12.9  14.9 999.0 99.0 99.00
2015 01 02 03 50 140  0.5  1.0  1.04  9.09  7.23 291 1019.9  12.8  15.1 999.0 99.0 99.00
2015 01 02 04 50 231  0.4  1.0  1.16  8.33  7.57 297 1020.3  12.8  15.1 999.0 99.0 99.00
2015 01 02 05 50 222  0.3  0.6  1.16  9.09  7.51 294 1020.2  12.7  15.2 999.0 99.0 99.00
2015 01 02 06 50 165  0.5  1.1  1.15  9.09  7.72 297 1020.1  12.7  15.3 999.0 99.0 99.00
2015 01 02 07 50 164  0.6  1.5  1.28 10.00  7.96 292 1020.3  12.7  15.3 999.0 99.0 99.00
2015 01 02 08 50 291  0.7  1.4  1.21 11.43  7.90 304 1020.4  12.7  15.3 999.0 99.0 99.00
2015 01 02 09 50 306  0.5  1.4  1.31  9.09  8.03 300 1020.4  12.6  15.3 999.0 99.0 99.00
2015 01 02 10 50 235  1.3  2.2  1.30 10.00  8.02 302 1020.1  12.6  15.2 999.0 99.0 99.00
2015 01 02 11 50 286  1.0  2.1  1.35 10.00  8.12 310 1019.9  12.6  15.1 999.0 99.0 99.00
2015 01 02 12 50 252  1.1  1.5  1.24 11.43  7.80 314 1019.4  12.5  15.1 999.0 99.0 99.00
2015 01 02 13 50 276  1.8  2.7  1.30 10.00  7.83 294 1019.4  12.6  15.0 999.0 99.0 99.00
2015 01 02 14 50 269  2.9  4.0  1.51 10.00  8.15 310 1020.0  12.8  15.2 999.0 99.0 99.00
2015 01 02 15 50 310  2.8  4.2  1.28 10.81  7.86 303 1020.3  13.0  15.0 999.0 99.0 99.00
2015 01 02 16 50 291  1.9  2.9  1.13 10.00  7.73 306 1020.8  13.1  14.7 999.0 99.0 99.00
2015 01 02 17 50 306  2.6  3.9  1.01 13.79  7.57 294 1021.1  13.2  14.8 999.0 99.0 99.00
2015 01 02 18 50 284  2.7  4.4  1.04  9.09  7.30 299 1020.7  13.4  14.9 999.0 99.0 99.00
2015 01 02 19 50 304  3.9  5.4  1.08  9.09  7.68 308 1019.5  13.2  15.1 999.0 99.0 99.00
