 Daily Data listing 
COOP  , Obs Time ,Mx Tmp,Mn Tmp,Av Tmp, Precip 
 ID   ,YYMMDDhhmm, Deg.F, Deg.F, Deg.F,   in.  
967803,0310010000,    63,    54,    58,    0.00 
967803,0310020000,    60,    53,    56,    0.00 
967803,0310030000,    60,    53,    56,    0.00 
967803,0310040000,    61,    53,    57,    0.00 
967803,0310050000,    62,    53,    58,    0.00 
967803,0310060000,    64,    53,    58,    0.00 
967803,0310070000,    63,    53,    58,    0.00 
967803,0310080000,    64,    53,    58,    0.00 
967803,0310090000,    60,    53,    56,    0.00 
967803,0310100000,    64,    52,    58,    0.00 
967803,0310110000,    69,    53,    61,    0.00 
967803,0310120000,    73,    57,    65,    0.00 
967803,0310130000,    70,    58,    64,    0.00 
967803,0310140000,    78,    58,    68,    0.00 
967803,0310150000,    70,    58,    64,    0.00 
967803,0310160000,    64,    54,    59,    0.00 
967803,0310170000,    65,    53,    59,    0.00 
967803,0310180000,    71,    54,    62,    0.00 
967803,0310190000,    74,    56,    65,    0.00 
967803,0310200000,    68,    56,    62,    0.00 
967803,0310210000,    72,    55,    64,    0.00 
967803,0310220000,    64,    53,    58,    0.00 
967803,0310230000,      ,      ,      ,    0.00 
967803,0310240000,      ,      ,      ,    0.00 
967803,0310250000,      ,      ,      ,    0.00 
967803,0310260000,    84,    55,    70,    0.00 
967803,0310270000,    87,    70,    78,    0.00 
967803,0310280000,    88,    66,    77,    0.00 
967803,0310290000,    82,    56,    69,    0.00 
967803,0310300000,    66,    53,    60,    0.00 
967803,0310310000,    61,    50,    56,    0.02 
967803,0311010000,    62,    48,    55,    0.62 
967803,0311020000,    60,    49,    54,    0.00 
967803,0311030000,    60,    49,    54,    0.08 
967803,0311040000,    60,    50,    55,    0.02 
967803,0311050000,    60,    49,    54,    0.00 
967803,0311060000,      ,      ,      ,    0.00 
967803,0311070000,    64,    50,    57,    0.00 
967803,0311080000,    66,    54,    60,    0.01 
967803,0311090000,    60,    57,    58,    0.56 
967803,0311100000,    62,    54,    58,    0.02 
967803,0311110000,    65,    54,    60,    0.01 
967803,0311120000,    68,    55,    62,    0.08 
967803,0311130000,    65,    53,    59,    0.02 
967803,0311140000,    65,    50,    58,    0.02 
967803,0311150000,    62,    52,    57,    0.00 
967803,0311160000,    61,    51,    56,    0.11 
967803,0311170000,    60,    53,    56,    0.00 
967803,0311180000,    62,    52,    57,    0.00 
967803,0311190000,    65,    53,    59,    0.00 
967803,0311200000,    70,    53,    62,    0.00 
967803,0311210000,    58,    51,    54,    0.00 
967803,0311220000,    59,    47,    53,    0.00 
967803,0311230000,    56,    47,    52,    0.00 
967803,0311240000,    61,    48,    54,    0.00 
967803,0311250000,    60,    49,    54,    0.00 
967803,0311260000,    56,    48,    52,    0.00 
967803,0311270000,    64,    48,    56,    0.00 
967803,0311280000,    68,    55,    62,    0.00 
967803,0311290000,    67,    53,    60,    0.00 
967803,0311300000,    64,    52,    58,    0.02 
967803,0312010000,    60,    53,    56,    0.01 
967803,0312020000,    60,    52,    56,    0.02 
967803,0312030000,    60,    50,    55,    0.01 
967803,0312040000,    60,    51,    56,    0.01 
967803,0312050000,    57,    50,    54,    0.01 
967803,0312060000,    64,    56,    60,    0.00 
967803,0312070000,    64,    53,    58,    0.02 
967803,0312080000,    59,    49,    54,    0.01 
967803,0312090000,    58,    48,    53,    0.00 
967803,0312100000,    62,    48,    55,    0.03 
967803,0312110000,    59,    50,    54,    0.02 
967803,0312120000,    57,    50,    54,    0.00 
967803,0312130000,    57,    50,    54,    0.00 
967803,0312140000,    58,    50,    54,    0.00 
967803,0312150000,    56,    44,    50,    0.05 
967803,0312160000,    58,    47,    52,    0.00 
967803,0312170000,    64,    50,    57,    0.00 
967803,0312180000,    64,    53,    58,    0.00 
967803,0312190000,    64,    50,    57,    0.00 
967803,0312200000,    64,    50,    57,    0.07 
967803,0312210000,    58,    51,    54,    0.08 
967803,0312220000,    59,    50,    54,    0.00 
967803,0312230000,    59,    51,    55,    0.60 
967803,0312240000,    55,    50,    52,    0.98 
967803,0312250000,    56,    52,    54,    1.18 
967803,0312260000,    58,    45,    52,    0.48 
967803,0312270000,    54,    43,    48,    0.05 
967803,0312280000,    54,    42,    48,    0.00 
967803,0312290000,    55,    43,    49,    0.02 
967803,0312300000,    52,    47,    50,    0.06 
967803,0312310000,    58,    47,    52,    0.01 
967803,0401010000,    59,    48,    54,    0.02 
967803,0401020000,    57,    51,    54,    0.17 
967803,0401030000,    56,    45,    50,    0.07 
967803,0401040000,    51,    42,    46,    0.00 
967803,0401050000,    54,    44,    49,    0.00 
967803,0401060000,    58,    44,    51,         
967803,0401070000,    58,    48,    53,    0.00 
967803,0401080000,    59,    48,    54,    0.01 
967803,0401090000,    58,    50,    54,    0.01 
967803,0401100000,    62,    51,    56,    0.01 
967803,0401110000,    60,    50,    55,    0.01 
967803,0401120000,    64,    50,    57,    0.00 
967803,0401130000,    56,    48,    52,    0.01 
967803,0401140000,    62,    50,    56,    0.00 
967803,0401150000,    64,    52,    58,    0.00 
967803,0401160000,    58,    49,    54,    0.02 
967803,0401170000,    55,    47,    51,    0.00 
967803,0401180000,    55,    49,    52,    0.02 
967803,0401190000,    55,    49,    52,    0.01 
967803,0401200000,    56,    48,    52,    0.00 
967803,0401210000,    55,    46,    50,    0.00 
967803,0401220000,    59,    48,    54,    0.00 
967803,0401230000,    60,    47,    54,    0.00 
967803,0401240000,    57,    47,    52,    0.00 
