"Trapline","TrapNum","Year","Month","Day","predCaught","birdCaught","otherCaught","NumCaught","Sex","Age","Condition","Disposition","TrapStatus","BaitStatus","BaitPrev","BaitSet","Observer","Recorder","Comments","dateStr","date","trap","catchID","duplicate","BaitPrevOld"
"A","1",2006,11,28,"","",NA,0,"","",NA,NA,"C","N",NA,"DO","EM","MS","",20061128,"11/28/2006","A1","20061128_A1",1,""
"A","1",2006,11,28,"","",NA,0,"","",NA,NA,"O","N","DO","DO","EM","MS","",20061128,"11/28/2006","A1","20061128_A1",4,""
"A","1",2006,2,7,"","",NA,0,"","",NA,NA,"C","N","DO","CD","KB","ET","",20060207,"2/7/2006","A1","20060207_A1",1,""
"A","1",2006,2,7,"","",NA,0,"","",NA,NA,"O","N","CD","CD","KB","ET","",20060207,"2/7/2006","A1","20060207_A1",4,""
"A","1",2006,4,5,"","",NA,0,"","",NA,NA,"C","N","CD","CD","IE","ET","",20060405,"4/5/2006","A1","20060405_A1",1,""
"A","1",2006,4,5,"","",NA,0,"","",NA,NA,"O","N","CD","CD","IE","ET","",20060405,"4/5/2006","A1","20060405_A1",4,""
"A","1",2007,7,23,"","",NA,0,"","",NA,NA,"C","Y","CD","CD","KA","RK","",20070723,"7/23/2007","A1","20070723_A1",1,""
"A","1",2007,7,23,"","",NA,0,"","",NA,NA,"O","N","CD","CD","KA","RK","",20070723,"7/23/2007","A1","20070723_A1",4,""
"A","10",2011,1,3,"","",NA,NA,"","",NA,NA,"O","Y",NA,"DO","LH","LH","",20110103,"1/3/2011","A10","20110103_A10",1,""
"A","10",2011,1,3,"","",NA,NA,"","",NA,NA,"O","N","DO","DO","LH","LH","",20110103,"1/3/2011","A10","20110103_A10",4,""
"A","12",2013,12,30,"","",NA,NA,"","",NA,NA,"C","N",NA,"CD","SJB","KG","",20131230,"12/30/2013","A12","20131230_A12",1,""
"A","12",2013,12,30,"","",NA,NA,"","",NA,NA,"O","N","CD","CD","SJB","KG","",20131230,"12/30/2013","A12","20131230_A12",4,""
"A","12",2001,4,4,"RR","",NA,1,"","",3,NA,"C","N","CD","","AC","AC","",20010404,"4/4/2001","A12","20010404_A12",1,"CD"
"A","12",2001,4,4,"","",NA,0,"NR","NR",NA,NA,"O","N","CD","","AC","AC","",20010404,"4/4/2001","A12","20010404_A12",4,"CD"
"A","12",2012,4,4,"RR","",NA,1,"","Adult",5,NA,"C","N","","None","JY","DME","All Live Traps AV Closed",20120404,"4/4/2012","A12","20120404_A12",1,""
"A","12",2012,4,4,"","",NA,NA,"","",NA,NA,"O","N","None","None","JY","DME","All Live Traps AV Closed",20120404,"4/4/2012","A12","20120404_A12",4,""
"A","12",2009,5,19,"","",NA,0,"","",NA,NA,"C","N","None","DO","DFD","DJ","",20090519,"5/19/2009","A12","20090519_A12",1,""
"A","12",2009,5,19,"","",NA,0,"","",NA,NA,"O","N","DO","DO","DFD","DJ","",20090519,"5/19/2009","A12","20090519_A12",4,""
