"date","trap","catchID","StartDate","EndDate","Trapline","TrapNum","Trap_Brand","Trap_size","Trap_numDoors","Easting","Northing","Year","Month","Day","predCaught","birdCaught","otherCaught","NumCaught","Sex","Age","Condition","Disposition","TrapStatus","BaitStatus","BaitPrev","BaitSet","Observer","Recorder","Comments","dateStr","duplicate","BaitPrevOld","Dummy","X","RatInvalid","NotRebaited","BaitPresent","prevCheckInterval","TrapChecked"
2002-05-10,"A23","20020510_A23","1988-01-01","2008-08-25","A","23","","",0,786924.7727,2296916.349,2002,5,10,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020510,0,"CD","2002-05-10",NA,FALSE,FALSE,TRUE,4,TRUE
2002-12-17,"D23","20021217_D23","1988-01-01","2008-11-25","D","23","","",0,786953.5665,2298880.21,2002,12,17,"","","",0,"","",NA,NA,"O","M","CD","","BH","AT","",20021217,0,"CD","2002-12-17",NA,FALSE,FALSE,TRUE,7,TRUE
2002-04-30,"E18","20020430_E18","1988-01-01","2007-07-20","E","18","","",0,786676.4486,2293650.134,2002,4,30,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","BEETLES",20020430,0,"CD","2002-04-30",NA,FALSE,FALSE,TRUE,3,TRUE
2014-05-01,"E23","20140501_E23","2013-11-07","2100-01-01","E","23","havahart","medium",2,787039.9554,2294518.423,2014,5,1,"","",NA,NA,"","",NA,NA,"C","C",NA,"","KG","SO","CHECK ONLY",20140501,0,NA,"2014-05-01",NA,FALSE,FALSE,TRUE,4,TRUE
2002-04-19,"E53","20020419_E53","1988-01-01","2007-07-20","E","53","","",0,787743.5081,2294776.233,2002,4,19,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","beetles",20020419,0,"CD","2002-04-19",NA,FALSE,FALSE,TRUE,3,TRUE
2002-04-03,"E60","20020403_E60","1988-01-01","2007-07-20","E","60","","",0,787922.4352,2295030.944,2002,4,3,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","",20020403,0,"CD","2002-04-03",NA,FALSE,FALSE,TRUE,2,TRUE
2002-04-05,"E60","20020405_E60","1988-01-01","2007-07-20","E","60","","",0,787922.4352,2295030.944,2002,4,5,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","",20020405,0,"CD","2002-04-05",NA,FALSE,FALSE,TRUE,4,TRUE
2002-04-19,"E60","20020419_E60","1988-01-01","2007-07-20","E","60","","",0,787922.4352,2295030.944,2002,4,19,"","","",0,"","",NA,NA,"O","NI","CD","","SS","SS","Ants",20020419,0,"CD","2002-04-19",NA,FALSE,FALSE,TRUE,3,TRUE
2002-04-25,"E60","20020425_E60","1988-01-01","2007-07-20","E","60","","",0,787922.4352,2295030.944,2002,4,25,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020425,0,"CD","2002-04-25",NA,FALSE,FALSE,TRUE,5,TRUE
2002-04-30,"E60","20020430_E60","1988-01-01","2007-07-20","E","60","","",0,787922.4352,2295030.944,2002,4,30,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020430,0,"CD","2002-04-30",NA,FALSE,FALSE,TRUE,3,TRUE
2002-05-09,"E60","20020509_E60","1988-01-01","2007-07-20","E","60","","",0,787922.4352,2295030.944,2002,5,9,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020509,0,"CD","2002-05-09",NA,FALSE,FALSE,TRUE,5,TRUE
2002-04-03,"E61","20020403_E61","1988-01-01","2007-07-20","E","61","","",0,787945.8245,2295048.002,2002,4,3,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","",20020403,0,"CD","2002-04-03",NA,FALSE,FALSE,TRUE,2,TRUE
2002-04-05,"E61","20020405_E61","1988-01-01","2007-07-20","E","61","","",0,787945.8245,2295048.002,2002,4,5,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020405,0,"CD","2002-04-05",NA,FALSE,FALSE,TRUE,4,TRUE
2002-04-19,"E61","20020419_E61","1988-01-01","2007-07-20","E","61","","",0,787945.8245,2295048.002,2002,4,19,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ants",20020419,0,"CD","2002-04-19",NA,FALSE,FALSE,TRUE,3,TRUE
2002-05-09,"E61","20020509_E61","1988-01-01","2007-07-20","E","61","","",0,787945.8245,2295048.002,2002,5,9,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020509,0,"CD","2002-05-09",NA,FALSE,FALSE,TRUE,5,TRUE
2002-04-03,"E63","20020403_E63","1988-01-01","2007-07-20","E","63","","",0,787928.0669,2295133.448,2002,4,3,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","",20020403,0,"CD","2002-04-03",NA,FALSE,FALSE,TRUE,2,TRUE
2002-04-19,"E63","20020419_E63","1988-01-01","2007-07-20","E","63","","",0,787928.0669,2295133.448,2002,4,19,"","","",0,"","",NA,NA,"O","NI","CD","","SS","SS","Ants",20020419,0,"CD","2002-04-19",NA,FALSE,FALSE,TRUE,3,TRUE
2002-05-09,"E63","20020509_E63","1988-01-01","2007-07-20","E","63","","",0,787928.0669,2295133.448,2002,5,9,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020509,0,"CD","2002-05-09",NA,FALSE,FALSE,TRUE,5,TRUE
2002-04-19,"E64","20020419_E64","1988-01-01","2007-07-20","E","64","","",0,787934.572,2295169.037,2002,4,19,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ants",20020419,0,"CD","2002-04-19",NA,FALSE,FALSE,TRUE,3,TRUE
2002-05-09,"E64","20020509_E64","1988-01-01","2007-07-20","E","64","","",0,787934.572,2295169.037,2002,5,9,"","","",0,"","",NA,NA,"O","NI","CD","","SS","SS","ANTS",20020509,0,"CD","2002-05-09",NA,FALSE,FALSE,TRUE,5,TRUE
2002-04-05,"E65","20020405_E65","1988-01-01","2007-07-20","E","65","","",0,787938.6872,2295213.362,2002,4,5,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020405,0,"CD","2002-04-05",NA,FALSE,FALSE,TRUE,4,TRUE
2002-04-19,"E65","20020419_E65","1988-01-01","2007-07-20","E","65","","",0,787938.6872,2295213.362,2002,4,19,"","","",0,"","",NA,NA,"O","NI","CD","","SS","SS","Ants",20020419,0,"CD","2002-04-19",NA,FALSE,FALSE,TRUE,3,TRUE
2002-04-30,"E65","20020430_E65","1988-01-01","2007-07-20","E","65","","",0,787938.6872,2295213.362,2002,4,30,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020430,0,"CD","2002-04-30",NA,FALSE,FALSE,TRUE,3,TRUE
2002-05-09,"E65","20020509_E65","1988-01-01","2007-07-20","E","65","","",0,787938.6872,2295213.362,2002,5,9,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020509,0,"CD","2002-05-09",NA,FALSE,FALSE,TRUE,5,TRUE
2002-05-09,"E66","20020509_E66","1988-01-01","2007-07-20","E","66","","",0,787955.6864,2295309.007,2002,5,9,"","","",0,"","",NA,NA,"O","YI","CD","","SS","SS","ANTS",20020509,0,"CD","2002-05-09",NA,FALSE,FALSE,TRUE,5,TRUE
2002-04-19,"E68","20020419_E68","1988-01-01","2007-07-20","E","68","","",0,788061.6008,2295450.234,2002,4,19,"","","",0,"","",NA,NA,"O","NI","CD","","SS","SS","Ants",20020419,0,"CD","2002-04-19",NA,FALSE,FALSE,TRUE,3,TRUE
