Trapline,TrapNum,Year,Month,Day,predCaught,birdCaught,otherCaught,NumCaught,Sex,Age,Condition,Disposition,TrapStatus,BaitStatus,BaitPrev,BaitSet,Observer,Recorder,Comments,dateStr,date,trap,catchID,duplicate
PAL,21,2000,1,13,,,,0,,,NA,NA,O,N,CD,,"RT, CH",CS,,20000113,36538,PAL21,20000113_PAL21,2
PAL,21,2000,1,13,,,,0,,,NA,NA,O,Y,CD,,"RT, CH",CS,,20000113,36538,PAL21,20000113_PAL21,9
B,21,2000,1,19,,,,0,,,NA,NA,C,N,CD,,RT,TM,,20000119,36544,B21,20000119_B21,2
B,21,2000,1,19,,,,0,,,NA,NA,O,N,CD,,RT,TM,,20000119,36544,B21,20000119_B21,8
C,24,2000,1,24,,,,0,,,NA,NA,O,N,CD,,TM,TM,,20000124,36549,C24,20000124_C24,2
C,24,2000,1,24,,,,0,,,NA,NA,O,Y,CD,,TM,TM,,20000124,36549,C24,20000124_C24,9
PAL,47,2000,2,10,,,,0,,,NA,NA,O,N,CD,,"RT, TM",CS,,20000210,36566,PAL47,20000210_PAL47,2
PAL,47,2000,2,10,,,,0,,,NA,NA,O,Y,CD,,"RT, TM",CS,,20000210,36566,PAL47,20000210_PAL47,9
F,18,2000,2,16,,,,0,,,NA,NA,M,,,,"TM, CB",CB,,20000216,36572,F18,20000216_F18,2
F,18,2000,2,16,,,,0,,,NA,NA,O,N,CD,,"TM, CB",CB,,20000216,36572,F18,20000216_F18,8
PAL,21,2000,2,17,,,,0,,,NA,NA,O,Y,CD,,CS,TM,,20000217,36573,PAL21,20000217_PAL21,2
PAL,21,2000,2,17,RR,,,1,M,SA,3,NA,C,N,CD,,CS,TM,,20000217,36573,PAL21,20000217_PAL21,11
PAL,20,2000,2,23,,,,0,,,NA,NA,O,N,CD,,"TM, CB",VS,,20000223,36579,PAL20,20000223_PAL20,2
PAL,20,2000,2,23,,,,0,,,NA,NA,O,Y,CD,,"TM, CB",IC,,20000223,36579,PAL20,20000223_PAL20,9
PAL,11,2000,2,28,,,,0,,,NA,NA,O,N,CD,,"CS, AK",TM,,20000228,36584,PAL11,20000228_PAL11,2
PAL,11,2000,2,28,,,,0,,,NA,NA,O,Y,CD,,"CS, AK",TM,,20000228,36584,PAL11,20000228_PAL11,9
A,21,2000,3,7,,,,0,,,NA,NA,O,N,CD,,"CB,TM",CB,,20000307,36592,A21,20000307_A21,2
A,21,2000,3,7,,,,0,,,NA,NA,O,Y,CD,,"CB,TM",CB,,20000307,36592,A21,20000307_A21,9
E,66,2000,3,9,,,,0,,,NA,NA,O,N,CD,,IC,IC,,20000309,36594,E66,20000309_E66,2
E,66,2000,3,9,,,,0,,,NA,NA,O,Y,CD,,IC,IC,,20000309,36594,E66,20000309_E66,9
F,59,2000,3,10,,,,0,,,NA,NA,C,N,CD,,CB,IC,,20000310,36595,F59,20000310_F59,2
F,59,2000,3,10,,,,0,,,NA,NA,O,N,CD,,CB,IC,,20000310,36595,F59,20000310_F59,8
F,62,2000,3,10,,,,0,,,NA,NA,C,N,CD,,CB,IC,,20000310,36595,F62,20000310_F62,2
F,62,2000,3,10,,,,0,,,NA,NA,O,N,CD,,CB,IC,,20000310,36595,F62,20000310_F62,8
E,51,2000,3,13,,,,0,,,NA,NA,O,N,CD,,CB,IC,,20000313,36598,E51,20000313_E51,2
E,51,2000,3,13,,,,0,,,NA,NA,O,Y,CD,,CB,IC,,20000313,36598,E51,20000313_E51,9
E,61,2000,3,13,,,,0,,,NA,NA,O,Y,CD,,CB,IC,,20000313,36598,E61,20000313_E61,2
E,61,2000,3,13,RR,,,1,F,A,0,NA,C,N,CD,,CB,IC,ANTS IN TRAP,20000313,36598,E61,20000313_E61,11
C,24,2000,3,14,,,,0,,,NA,NA,C,N,CD,,TM,IC,,20000314,36599,C24,20000314_C24,2
C,24,2000,3,14,,,,0,,,NA,NA,O,N,CD,,TM,IC,,20000314,36599,C24,20000314_C24,8
B,61,2000,3,15,,,,0,,,NA,NA,M,,,,CB,IC,,20000315,36600,B61,20000315_B61,2
B,61,2000,3,15,,,,0,,,NA,NA,O,N,CD,,CB,IC,,20000315,36600,B61,20000315_B61,8
F,17,2000,3,20,,,,0,,,NA,NA,C,Y,CD,,IC,TM,,20000320,36605,F17,20000320_F17,2
F,17,2000,3,20,,,,0,,,NA,NA,O,Y,CD,,IC,TM,,20000320,36605,F17,20000320_F17,10
E,27,2000,3,21,,,,0,,,NA,NA,C,N,CD,,CB,VS,,20000321,36606,E27,20000321_E27,2
E,27,2000,3,21,,,,0,,,NA,NA,O,Y,CD,,CB,VS,,20000321,36606,E27,20000321_E27,10
E,34,2000,3,21,,,,0,,,NA,NA,M,,,,CB,VS,,20000321,36606,E34,20000321_E34,2
E,34,2000,3,21,,,,0,,,NA,NA,O,N,CD,,CB,VS,,20000321,36606,E34,20000321_E34,10
E,35,2000,3,21,,,,0,,,NA,NA,C,Y,CD,,CB,VS,,20000321,36606,E35,20000321_E35,2
E,35,2000,3,21,,,,0,,,NA,NA,O,N,CD,,CB,VS,,20000321,36606,E35,20000321_E35,10
E,36,2000,3,21,,,,0,,,NA,NA,C,Y,CD,,CB,VS,,20000321,36606,E36,20000321_E36,2
E,36,2000,3,21,,,,0,,,NA,NA,O,N,CD,,CB,VS,,20000321,36606,E36,20000321_E36,10
E,39,2000,3,21,,,,0,,,NA,NA,C,Y,CD,,CB,VS,,20000321,36606,E39,20000321_E39,2
E,39,2000,3,21,,,,0,,,NA,NA,O,Y,CD,,CB,VS,,20000321,36606,E39,20000321_E39,8
D,7,2000,3,22,,,,0,,,NA,NA,C,Y,CD,,CB,VS,,20000322,36607,D7,20000322_D7,2
D,7,2000,3,22,,,,0,,,NA,NA,O,Y,CD,,CB,VS,,20000322,36607,D7,20000322_D7,8
B,47,2000,3,24,,,,0,,,NA,NA,M,,,,CS,TM,,20000324,36609,B47,20000324_B47,2
B,47,2000,3,24,,,,0,,,NA,NA,O,N,CD,,CS,TM,,20000324,36609,B47,20000324_B47,10
F,53,2000,3,28,,,,0,,,NA,NA,M,,,,TM,TM,,20000328,36613,F53,20000328_F53,2
F,53,2000,3,28,,,,0,,,NA,NA,O,N,CD,,TM,TM,,20000328,36613,F53,20000328_F53,10
E,10,2000,3,30,,,,0,,,NA,NA,C,N,CD,,TM,VS,,20000330,36615,E10,20000330_E10,2
E,10,2000,3,30,,,,0,,,NA,NA,O,N,CD,,TM,VS,,20000330,36615,E10,20000330_E10,8
LAI,134,2000,4,5,,,,0,,,NA,NA,O,N,CD,,"RT, VS",TM,,20000405,36621,LAI134,20000405_LAI134,2
LAI,134,2000,4,5,,,,0,,,NA,NA,O,Y,CD,,"RT, VS",TM,,20000405,36621,LAI134,20000405_LAI134,9
PAL,104,2000,4,6,,,,0,,,NA,NA,O,N,CD,,VS,TM,,20000406,36622,PAL104,20000406_PAL104,2
PAL,104,2000,4,6,,,,0,,,NA,NA,O,Y,CD,,VS,TM,,20000406,36622,PAL104,20000406_PAL104,9
PAL,51,2000,4,13,,,,0,,,NA,NA,C,N,CD,,"TM,IC",TM,,20000413,36629,PAL51,20000413_PAL51,2
PAL,51,2000,4,13,,,,0,,,NA,NA,O,N,CD,,"TM,IC",TM,,20000413,36629,PAL51,20000413_PAL51,8
F,15,2000,5,2,,,,0,,,NA,NA,M,,,,IC,TM,,20000502,36648,F15,20000502_F15,2
F,15,2000,5,2,,,,0,,,NA,NA,O,Y,CD,,IC,TM,,20000502,36648,F15,20000502_F15,9
F,30,2000,5,2,,,,0,,,NA,NA,O,N,CD,,IC,TM,,20000502,36648,F30,20000502_F30,2
F,30,2000,5,2,RR,,,1,M,A,3,NA,C,N,CD,,IC,TM,,20000502,36648,F30,20000502_F30,11
E,54,2000,5,8,,,,0,,,NA,NA,M,,,,IC,IC,,20000508,36654,E54,20000508_E54,2
E,54,2000,5,8,,,,0,,,NA,NA,O,Y,CD,,IC,IC,,20000508,36654,E54,20000508_E54,10
