OBJECTID,TrapID,TrapLoc,Filename,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Trapline,TrapNum,Trap_Brand,Trap_size,Trap_numDoors,Easting,Northing,GPS_Date,Comments
26,A_1_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,1,,,0,787187.5083,2295970.85,3/27/1998 0:00,AV01
1,A_1_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,1,havahart,small,2,787040.2235,2298537.442,2/26/2010 0:00, 
,A_10_1,1,,NA,NA,NA,2008,8,25,A,10,,,,,,,
8,A_10_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,10,tomahawk,medium,1,785835.6075,2292134.803,2/26/2010 0:00, 
,A_11_1,1,,NA,NA,NA,2008,8,25,A,11,,,,,,,
9,A_11_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,11, ,medium,2,787746.1024,2296202.09,2/26/2010 0:00, 
,A_12_1,1,,NA,NA,NA,2008,8,25,A,12,,,,,,,
10,A_12_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,12,havahart,large,1,787179.105,2295973.852,2/26/2010 0:00, 
11,A_13_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,13,havahart,medium,2,788639.2236,2297175.317,2/26/2010 0:00, 
38,A_14_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,14,,,0,787377.7902,2299006.875,11/6/1997 0:00,A014 incorporated into B trapline 9/15/03
12,A_14_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,14,tomahawk,medium,1,788515.3678,2297294.212,2/26/2010 0:00, 
22,A_15_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,15,,,0,785810.8109,2292171.4,3/27/1998 0:00,AV15
13,A_15_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,15,tomahawk,medium,1,788071.3383,2297202.693,2/26/2010 0:00, 
23,A_16_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,16,,,0,785835.696,2292134.219,3/27/1998 0:00,AV16
15,A_16_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,16,havahart,medium,2,787467.105,2297460.424,2/26/2010 0:00, 
,A_17_1,1,,NA,NA,NA,2008,8,25,A,17,,,,,,,
14,A_17_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,17,tomahawk,medium,1,787385.4007,2297425.927,2/26/2010 0:00, 
,A_18_1,1,,NA,NA,NA,2008,8,25,A,18,,,,,,,
16,A_18_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,18,havahart,medium,2,788342.5836,2298011.745,2/26/2010 0:00, 
24,A_19_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,19,,,0,786299.8415,2292918.767,3/27/1998 0:00,AV19
18,A_19_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,19,tomahawk,medium,1,787371.6372,2297947.955,2/26/2010 0:00, 
27,A_2_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,2,,,0,787726.291,2296690.038,3/27/1998 0:00,AV02
2,A_2_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,2,havahart,large,1,787054.9638,2298519.143,2/26/2010 0:00, 
41,A_20_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,20,,,0,785695.4015,2292122.791,11/6/1997 0:00,A020
17,A_20_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,20,little giant,medium,1,787122.4527,2298062.293,2/26/2010 0:00, 
30,A_21_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,21,,,0,787469.4797,2297461.276,3/27/1998 0:00,AV21
,A_21_2,2,,2008,8,25,NA,NA,NA,A,21,,,,,,,
35,A_22_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,22,,,0,787386.1216,2297421.065,11/6/1997 0:00,A022
,A_22_2,2,,2008,8,25,NA,NA,NA,A,22,,,,,,,
29,A_23_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,23,,,0,786924.7727,2296916.349,3/27/1998 0:00,AV23
,A_23_2,2,,2008,8,25,NA,NA,NA,A,23,,,,,,,
34,A_24_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,24,,,0,788069.8303,2297203.115,11/6/1997 0:00,A024
,A_24_2,2,,2008,8,25,NA,NA,NA,A,24,,,,,,,
28,A_25_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,25,,,0,787230.2272,2296118.934,3/27/1998 0:00,AV25
,A_25_2,2,,2008,8,25,NA,NA,NA,A,25,,,,,,,
31,A_26_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,26,,,0,787345.0638,2297948.997,3/27/1998 0:00,AV26
,A_26_2,2,,2008,8,25,NA,NA,NA,A,26,,,,,,,
32,A_27_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,27,,,0,787041.9136,2298538.266,3/27/1998 0:00,AV27
,A_27_2,2,,2008,8,25,NA,NA,NA,A,27,,,,,,,
33,A_28_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,28,,,0,787588.2918,2299001.376,3/27/1998 0:00,AV28 incorporated into B trapline 9/15/03
,A_28_2,2,,2008,8,25,NA,NA,NA,A,28,,,,,,,
25,A_29_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,29,,,0,787744.4838,2296202.496,3/27/1998 0:00,AV29
,A_29_2,2,,2008,8,25,NA,NA,NA,A,29,,,,,,,
21,A_3_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,3,,,0,788516.6195,2297294.51,3/27/1998 0:00,AV03
