Trapline,TrapNum,Year,Month,Day,predCaught,birdCaught,otherCaught,NumCaught,Sex,Age,Condition,Disposition,TrapStatus,BaitStatus,BaitPrev,RAINA 2016 Comments,BaitSet,Observer,Recorder,Comments
A,21,2000,3,7,,,,0,,,NA,NA,O,N,CD,Delete,,"CB,TM",CB,
A,21,2000,3,7,,,,0,,,NA,NA,O,Y,CD,Keep,,"CB,TM",CB,
A,12,2001,4,4,,,,0,NR,NR,NA,NA,O,N,CD,Delete,,AC,AC,
A,12,2001,4,4,RR,,,1,,,3,NA,C,N,CD,Keep,,AC,AC,
A,2,2001,5,22,,,,0,,,NA,NA,NC,,CD,Keep,,AC,AC,NOT CHECKED DUE TO CONSTRUCTION BLOCK OFF
A,2,2001,5,22,,,,0,,,NA,NA,O,N,CD,Delete,,AC,AC,
A,25,2001,6,6,,,,0,,,NA,NA,C,N,CD,Keep,,HF,AC,
A,25,2001,6,6,,,,0,,,NA,NA,O,N,CD,Delete,,HF,AC,
A,26,2001,6,29,,,,0,,,NA,NA,C,N,CD,Keep,,"JK, HF",JK,
A,26,2001,6,29,,,,0,,,NA,NA,O,N,CD,Delete,,"JK, HF",JK,
A,3,2002,3,11,,,,0,,,NA,NA,O,N,CD,Delete,,SR,SR,
A,3,2002,3,11,RR,,,1,A,,3,NA,C,N,CD,Keep,,SR,SR,
A,27,2003,2,10,,,,0,,,NA,NA,O,N,CD,Delete,,BH,AT,
A,27,2003,2,10,,,,0,,,NA,NA,C,N,CD,Keep,,BH,AT,
A,4,2003,2,18,,,,0,,,NA,NA,O,N,DO,Delete,,BH,AT,
A,4,2003,2,18,,,,0,,,NA,NA,C,N,DO,Keep,,BH,AT,
A,20,2003,9,2,,,,0,,,NA,NA,O,N,DO,Delete,,ZM,PM,
A,20,2003,9,2,,,,0,,,NA,NA,O,Y,DO,Keep,,ZM,PM,
A,4,2004,3,15,,,,0,,,NA,NA,O,N,D,Delete,,ZM,KD,
A,4,2004,3,15,,,,0,,,NA,NA,O,Y,D,Keep,,ZM,KD,
A,16,2004,3,15,,,,0,,,NA,NA,O,N,D,Delete,,ZM,KD,
A,16,2004,3,15,,,,0,,,NA,NA,C,N,D,Keep,,ZM,KD,
A,20,2004,3,15,,,,0,,,NA,NA,O,N,D,Delete,,ZM,KD,
A,20,2004,3,15,,CHUK,,2,,,NA,NA,C,N,D,Keep,,ZM,KD,
A,5,2004,6,17,,,,0,,,NA,NA,O,N,DO,Delete,,IE ACM,RFT,
A,5,2004,6,17,,,,0,,,NA,NA,C,Y,DO,Keep,,IE ACM,RFT,
A,16,2004,7,28,,,,0,,,NA,NA,O,N,DO,Delete,,ACM,RFT,
A,16,2004,7,28,RR,,,1,,Adult,1,NA,C,N,DO,Keep,,ACM,RFT,left in trap
A,19,2004,7,28,,,,0,,,NA,NA,O,N,DO,Delete,,ACM,RFT,
A,19,2004,7,28,,CHUK,,1,,,1,NA,C,Y,DO,Keep,,ACM,RFT,
A,4,2004,10,12,,,,0,,,NA,NA,O,N,DO,Delete,,ZM,SB,
A,4,2004,10,12,,,,0,,,NA,NA,C,N,DO,Keep,,ZM,SB,
A,21,2004,12,6,,,,0,,,NA,NA,O,N,DO,Delete,,SB,RK,
A,21,2004,12,6,RR,,,1,,Adult,1,NA,C,N,DO,Keep,,SB,RK,
A,21,2004,12,15,,,,0,,,NA,NA,O,N,DO,Keep,,SB,RK,
A,21,2004,12,15,,,,0,,,NA,NA,C,N,DO,Delete,,SB,RK,1RR-3 Ad. From previous week
A,22,2005,6,15,,,,0,,,NA,NA,O,N,DO,Delete,,CW,MB,
A,22,2005,6,15,RR,,,1,,,4,NA,C,N,DO,Keep,,CW,MB,
A,35,2005,11,7,,,,0,,,NA,NA,C,N,DO,Keep,,MB,MB,TRAP BY BUSH
A,35,2005,11,7,,,,0,,,NA,NA,O,Y,DO,Delete,,MB,MB,TRAP BY POLE
A,1,2006,2,7,,,,0,,,NA,NA,O,N,,Delete,CD,KB,ET,
A,1,2006,2,7,,,,0,,,NA,NA,C,N,,Keep,CD,KB,ET,
A,24,2006,3,21,,,,0,,,NA,NA,O,N,,Delete,DO,LG,ET,
A,24,2006,3,21,,,,0,,,NA,NA,C,N,,Keep,DO,LG,ET,
