DeployID,FieldID,Deployed,Recovered,Max of GPS_TagRecov,Max of TDR_TagRecov,ValidTDRFiles
1,KPA2013WTSH020A,2013-08-14 07:31,2013-08-20 14:20,1,6,
2,KPA2013WTSH015A,2013-08-13 09:35,2013-08-15 08:11,1,6,
3,KPA2013WTSH002A,2013-08-14 07:00,2013-08-15 06:36,1,6,
4,KPA2013WTSH003A,2013-08-14 07:09,2013-08-15 07:57,1,6,
5,KPA2013WTSH008A,2013-08-13 06:27,2013-08-13 06:27,0,6,
6,KPA2013WTSH017A,2013-08-13 06:47,2013-08-15 08:15,1,6,
7,KPA2013WTSH022A,2013-08-13 07:14,2013-08-15 08:35,1,6,
8,KPA2013WTSH001A,2013-08-13 07:44,2013-08-16 09:50,1,6,
9,KPA2013WTSH028A,2013-08-13 08:10,2013-08-15 10:50,1,6,
10,KPA2013WTSH026A,2013-08-13 08:30,2013-08-15 08:53,1,6,
11,KPA2013WTSH030A,2013-08-13 08:55,2013-08-15 07:06,1,6,
12,KPA2013WTSH013A,2013-08-13 09:17,2013-08-28 10:15,1,6,
13,KPA2013WTSH021A,2013-08-13 09:52,2013-08-21 08:22,1,6,
14,KPA2013WTSH027A,2013-08-13 10:47,2013-08-20 15:07,1,6,
15,KPA2013WTSH023A,2013-08-13 11:08,2013-08-15 07:43,1,6,
16,KPA2013WTSH029A,2013-08-14 06:26,2013-08-15 06:36,1,6,
17,KPA2013WTSH005A,2013-08-14 06:37,2013-08-26 08:51,1,6,
18,KPA2013WTSH018A,2013-08-14 07:44,2013-08-26 07:21,1,6,
19,KPA2013WTSH010A,2013-08-14 07:57,2013-08-15 09:50,1,6,
20,KPA2013WTSH025A,2013-08-14 08:14,2013-08-15 06:02,1,6,
21,KPC2013WTSH019A,2013-09-01 06:23,2013-09-04 06:02,1,6,
22,KPC2013WTSH016A,2013-09-01 06:38,2013-09-11 06:23,1,6,
23,KPC2013WTSH018A,2013-09-01 06:52,2013-09-19 06:30,2,6,
24,KPC2013WTSH026A,2013-09-01 07:10,2013-09-01 07:10,0,6,
25,KPC2013WTSH022A,2013-09-01 07:33,2013-09-09 10:15,1,6,
26,KPC2013WTSH023A,2013-09-01 07:44,2013-09-09 09:25,1,6,
27,KPC2013WTSH030A,2013-09-01 08:02,2013-09-01 08:02,0,6,
28,KPC2013WTSH028A,2013-09-01 08:14,2013-09-09 08:45,1,6,
29,KPC2013WTSH024A,2013-09-01 08:33,2013-09-02 07:16,1,6,
30,KPC2013WTSH008A,2013-09-01 08:55,2013-09-02 05:54,1,6,
31,KPC2013WTSH009A,2013-09-01 09:09,2013-09-02 07:49,1,6,
32,KPC2013WTSH011A,2013-09-01 09:21,2013-09-20 09:32,2,6,
33,KPC2013WTSH003A,2013-09-01 09:36,2013-09-04 09:00,1,6,
34,KPC2013WTSH004A,2013-09-01 10:16,2013-09-20 06:00,2,6,
35,KPC2013WTSH010A,2013-09-01 10:29,2013-09-02 12:39,1,6,
36,KPC2013WTSH002A,2013-09-01 10:41,2013-09-11 07:09,1,6,
37,KPC2013WTSH001A,2013-09-01 10:53,2013-09-04 06:11,1,6,
38,KPC2013WTSH025A,2013-09-01 11:18,2013-09-02 11:25,1,6,
39,KPC2013WTSH027A,2013-09-01 11:28,2013-09-07 09:43,2,6,
40,KPC2013WTSH029A,2013-09-01 11:35,2013-09-02 11:34,1,6,
41,KPNM2013WTSH014A,2013-09-21 08:54,2013-09-23 11:25,5,6,
42,KPNM2013WTSH001A,2013-09-21 05:30,2013-09-21 05:30,0,6,
43,KPNM2013WTSH002A,2013-09-21 05:43,2013-09-21 05:43,0,6,
