DeployID,FieldID,Species,Site,TDRFilename,Deployed,Recovered,DataBlock0Rate,FastLogRate,Threshold,WetDry
269,LAW2014WTSH021A,WTSH,LAW,LAW_WTSH_021_30018_A10348_100114,10/2/2014 5:46,10/6/2014 13:00,3600,0.2,1,TRUE
270,LAW2014WTSH022A,WTSH,LAW,LAW_WTSH_022_30019_A10367_100114,10/2/2014 6:07,10/7/2014 12:03,3600,0.2,1,TRUE
275,LAW2014WTSH027A,WTSH,LAW,LAW_WTSH_027_30024_A10356_100114,10/2/2014 7:47,10/5/2014 8:46,3600,0.2,1,FALSE
276,LAW2014WTSH028A,WTSH,LAW,LAW_WTSH_028_30025_A10353_100114,10/2/2014 7:54,10/5/2014 9:02,3600,0.2,1,FALSE
290,LEH2014RTTR094A,RTTR,LEH,LEH2014RTTR094_A10373_061614,6/14/2014 21:12,6/16/2014 20:33,3600,0.1,0,FALSE
315,LEH2014RTTR040A,RTTR,LEH,LEH2014RTTR040_A10363_061514,6/13/2014 23:36,6/15/2014 20:30,3600,0.1,0,FALSE
316,LEH2014RTTR003A,RTTR,LEH,LEH2014RTTR003_A10356_061614,6/14/2014 3:50,6/16/2014 19:38,3600,0.1,0,FALSE
317,LEH2014RTTR048A,RTTR,LEH,LEH2014RTTR048_A10357_061514,6/14/2014 4:41,6/15/2014 21:07,3600,0.1,0,FALSE
319,LEH2014RTTR057A,RTTR,LEH,LEH2014RTTR057_A10355_061714,6/14/2014 22:30,6/17/2014 19:36,3600,0.1,0,FALSE
320,LEH2014RTTR104A,RTTR,LEH,LEH2014RTTR104A_A10379_071814,7/15/2014 0:47,7/19/2014 0:58,600,0.1,0,FALSE
321,LEH2014RTTR017A,RTTR,LEH,LEH2014RTTR017A_A10360_071814,7/15/2014 22:15,7/18/2014 20:41,600,0.1,0,FALSE
322,LEH2014RTTR036B,RTTR,LEH,LEH2014RTTR036B_A10372_071814,7/15/2014 22:46,7/18/2014 20:10,600,0.1,0,FALSE
324,LEH2014RTTR008A,RTTR,LEH,LEH2014RTTR008_A10344_061614,6/14/2014 21:51,6/16/2014 21:10,3600,0.1,0,FALSE
325,LEH2014RTTR025A,RTTR,LEH,LEH2014RTTR025_A10372_061814,6/14/2014 1:29,6/18/2014 20:24,3600,0.1,0,FALSE
326,LEH2014RTTR090A,RTTR,LEH,LEH2014RTTR090_A10379_061714,6/14/2014 20:12,6/17/2014 21:19,3600,0.1,0,FALSE
327,LEH2014RTTR060A,RTTR,LEH,LEH2014RTTR060_A10359_061614,6/14/2014 21:45,6/16/2014 20:10,3600,0.1,0,FALSE
331,LEH2014RTTR079A,RTTR,LEH,LEH2014RTTR079_A10319_061614,6/16/2014 0:00,6/17/2014 0:35,3600,0.1,0,FALSE
332,LEH2014RTTR014A,RTTR,LEH,LEH2014RTTR014A_A10343_072014,7/15/2014 0:00,7/20/2014 19:35,600,0.1,0,FALSE
338,LEH2014RTTR072A,RTTR,LEH,LEH2014RTTR072A_A10345_071714,7/15/2014 22:07,7/17/2014 22:36,600,0.1,0,FALSE
339,LEH2014RFBO041A,RFBO,LEH,LEH2014RFBO041A_A10315_071914,7/15/2014 5:40,7/20/2014 6:55,600,0.1,0,TRUE
340,LEH2014BRBO005A,BRBO,LEH,LEH_BRBO_005_10710_A10354_051814,5/16/2014 18:12,5/19/2014 4:14,3600,0.1,0,FALSE
341,LEH2014RFBO004A,RFBO,LEH,LEH_RFBO_004_07121_A10363_051714,5/15/2014 1:42,5/17/2014 16:50,3600,0.1,0,FALSE
342,LEH2014RFBO006A,RFBO,LEH,LEH_RFBO_006_07122_A10359_051714,5/15/2014 2:15,5/17/2014 17:19,3600,0.1,0,FALSE
343,LEH2014RFBO008A,RFBO,LEH,LEH_RFBO_008_07123_A10360_051814,5/15/2014 4:08,5/18/2014 17:00,3600,0.1,0,FALSE
344,LEH2014RFBO010A,RFBO,LEH,LEH_RFBO_010_07124_A10361_051814,5/15/2014 4:40,5/18/2014 17:45,3600,0.1,0,FALSE
345,LEH2014RFBO015A,RFBO,LEH,LEH2014RFBO015_A10315_061714,6/14/2014 8:43,6/17/2014 17:39,3600,0.1,1,TRUE
346,LEH2014RFBO018A,RFBO,LEH,LEH2014RFBO018_A10348_061614,6/14/2014 9:15,6/17/2014 7:52,3600,0.1,1,TRUE
347,LEH2014RFBO020A,RFBO,LEH,LEH2014RFBO020_A10367_061614,6/14/2014 9:36,6/16/2014 18:08,3600,0.1,1,TRUE
348,LEH2014RFBO030A,RFBO,LEH,LEH2014RFBO030_A10312_061814,6/15/2014 8:24,6/18/2014 17:24,3600,0.1,0,FALSE
349,LEH2014RFBO001A,RFBO,LEH,LEH_RFBO_001_07131_A10366_051714,5/14/2014 5:00,5/18/2014 0:58,3600,0.1,0,FALSE
350,LEH2014RFBO002A,RFBO,LEH,LEH_RFBO_002_07132_A10365_051514,5/14/2014 5:32,5/16/2014 6:50,3600,0.1,0,FALSE
351,LEH2014RFBO005A,RFBO,LEH,LEH_RFBO_005_07133_A10362_051614,5/15/2014 2:10,5/17/2014 5:55,3600,0.1,0,FALSE
352,LEH2014RFBO007A,RFBO,LEH,LEH_RFBO_007_07134_A10358_051814,5/15/2014 4:07,5/18/2014 17:10,3600,0.1,0,FALSE
353,LEH2014RFBO009A,RFBO,LEH,LEH_RFBO_009_07135_A10357_051814,5/15/2014 4:55,5/18/2014 17:19,3600,0.1,0,FALSE
354,LEH2014RFBO016A,RFBO,LEH,LEH2014RFBO016_A10354_061614,6/14/2014 8:48,6/17/2014 8:34,3600,0.1,0,FALSE
355,LEH2014RFBO029A,RFBO,LEH,LEH2014RFBO029A_A10318_071714,6/15/2014 8:04,7/19/2014 8:40,3600,0.1,0,FALSE
356,LEH2014RFBO021A,RFBO,LEH,LEH2014RFBO021_A10387_061714,6/14/2014 18:00,6/18/2014 7:33,3600,0.1,1,TRUE
357,LEH2014RFBO022A,RFBO,LEH,LEH2014RFBO022_A10350_061714,6/14/2014 18:37,6/17/2014 18:08,3600,0.1,0,FALSE
358,LEH2014RFBO026A,RFBO,LEH,LEH2014RFBO026_A10349_061814,6/14/2014 19:01,6/18/2014 17:24,3600,0.1,0,FALSE
359,LEH2014RFBO025A,RFBO,LEH,LEH2014RFBO025_A10347_061714,6/14/2014 19:26,6/18/2014 7:45,3600,0.1,0,FALSE
360,LEH2014RFBO023A,RFBO,LEH,LEH2014RFBO023_A10346_061714,6/14/2014 20:41,6/17/2014 17:53,3600,0.1,0,FALSE
361,LEH2014RFBO027A,RFBO,LEH,LEH2014RFBO027_A10345_061814,6/14/2014 21:10,6/18/2014 16:22,3600,0.1,0,FALSE
386,LEH2014RFBO014A,RFBO,LEH,LEH2014RFBO014_A10314_061614,6/14/2014 8:14,6/17/2014 7:41,3600,0.1,1,TRUE
387,LEH2014RFBO012A,RFBO,LEH,LEH2014RFBO012_A10371_061614,6/14/2014 7:43,6/17/2014 7:20,3600,0.1,0,FALSE
388,LEH2014BRBO007A,BRBO,LEH,LEH_BRBO_007_24337_A10356_051814,5/16/2014 18:50,5/19/2014 3:52,3600,0.1,0,FALSE
389,LEH2014BRBO004A,BRBO,LEH,LEH_BRBO_004_24338_A10355_051714,5/16/2014 4:17,5/18/2014 5:15,3600,0.1,0,FALSE
390,LEH2014BRBO003A,BRBO,LEH,LEH_BRBO_003_24339_A10323_051714,5/16/2014 3:30,5/18/2014 4:45,3600,0.1,0,FALSE
391,LEH2014BRBO002A,BRBO,LEH,LEH_BRBO_002_24340_A10317_051714,5/16/2014 3:05,5/18/2014 5:35,3600,0.1,0,FALSE
392,LEH2014BRBO001A,BRBO,LEH,LEH_BRBO_001_24341_A10322_051714,5/16/2014 2:02,5/18/2014 5:07,3600,0.1,0,FALSE
393,LEH2014RFBO003A,RFBO,LEH,LEH_RFBO_003_24342_A10364_051814,5/14/2014 6:05,5/18/2014 17:24,3600,0.1,0,FALSE
396,LEH2014BRBO014A,BRBO,LEH,LEH2014BRBO014_A10340_061614,6/15/2014 3:02,6/17/2014 4:05,3600,0.1,0,FALSE
397,LEH2014BRBO012A,BRBO,LEH,LEH2014BRBO012_A10341_061814,6/15/2014 2:26,6/18/2014 17:43,3600,0.1,0,FALSE
398,LEH2014BRBO010A,BRBO,LEH,LEH2014BRBO010_A10343_061614,6/15/2014 1:43,6/17/2014 3:00,3600,0.1,0,FALSE
399,LEH2014RFBO011A,RFBO,LEH,LEH2014RFBO011_A10362_061614,6/14/2014 7:36,6/16/2014 17:21,3600,0.1,0,FALSE
401,LEH2014RFBO013A,RFBO,LEH,LEH2014RFBO013_A10323_061614,6/14/2014 8:20,6/16/2014 17:46,3600,0.1,0,FALSE
402,LEH2014BRBO011A,BRBO,LEH,LEH2014BRBO011_A10365_061614,6/15/2014 1:48,6/17/2014 3:12,3600,0.1,0,FALSE
415,LEH2014BRBO029A,BRBO,LEH,LEH2014BRBO029A_A10341_071714,7/16/2014 5:38,7/18/2014 1:38,600,0.1,0,FALSE
483,HOO2014WTSH029A,WTSH,HOO,HOO_WTSH_029_28077_A10369_091914,9/11/2014 8:32,9/20/2014 9:50,3600,0.2,1,FALSE
484,HOO2014WTSH016A,WTSH,HOO,HOO_WTSH_016_28103_A10349_091714,9/11/2014 9:11,9/17/2014 10:07,3600,0.2,1,FALSE
493,HOO2014WTSH019A,WTSH,HOO,HOO_WTSH_019_02167_A10365_092314,9/11/2014 9:03,9/24/2014 6:52,3600,0.2,1,FALSE
