FieldID,ID,Deploy_ID,Island,Site,SubCol,SubCol_Code,Species,Year,Phenology,NestNo,GPS_Y_N,GPS_ID,GPS_programmed_start_datetime_local,DeplSess,GPS_Interval_seconds,GPS_notes,Tagging_Event,Contents,NestPhen,NestPhen1,Chick_Stage,Capture_date_local,Capture_time_local,Release_time_local,UTC_LocalTime_offset_hours,UTC,BandNo,R_L,offset,GPS_TagRecov,TDR_TagRecov,Notes,Capture_loc,Blood_FTA,Blood_vial,Feathers,GPS_Track_File,revised_sample_no,TDR_Y_N,TDR_ID,TDR_File,Sex,How_Sexed,Age,Diet,Mass,Culmen,Lat_DD,Long_DD,Date_Modified,Time_Modified,Wing,Processor,Chick % adult sz,Chick Primaries growing
LEH2014BRBO001A,20,254,Kauai,Lehua,Lehua,LEH,BRBO,2014,EC,1,Y,643,5/13/2014 12:00,1,120,,D,SDC,Early Chick,1,3,5/15/2014,15:50,16:02,-10,5/16/2014 2:02,2017-24341,L,,0,0,,,N,N,N,,,Y,A10322,,M,P,AHY,Y,,,22.0161,-160.094239,,,,JF,,
LEH2014BRBO001A,8,254,Kauai,Lehua,Lehua,LEH,BRBO,2014,EC,1,Y,643,5/13/2014 12:00,1,120,,R,SDC,Early Chick,1,3,5/17/2014,19:07,19:22,-10,5/18/2014 5:07,2017-24341,L,,1,1,,,Y,Y,N,LEH_BRBO_001_24341_643_051714,,Y,A10322,LEH_BRBO_001_24341_A10322_051714,M,P,AHY,N,1011,102.9,22.0161,-160.094239,,,,JF,,
LEH2014BRBO002A,21,255,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,2,Y,649,5/13/2014 12:00,1,120,,D,SGC,Early Chick,2,4,5/15/2014,16:45,17:05,-10,5/16/2014 3:05,2017-24340,R,,0,0,Diet sample is from chick,,N,N,N,,,Y,A10317,,F,P,AHY,Y,,,22.016412,-160.094065,,,,JF,,
LEH2014BRBO002A,9,255,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,2,Y,649,5/13/2014 12:00,1,120,,R,SGC,Early Chick,2,4,5/17/2014,19:35,19:22,-10,5/18/2014 5:35,2017-24340,R,,1,1,,,Y,Y,N,LEH_BRBO_002_24340_649_051714,,Y,A10317,LEH_BRBO_002_24340_A10317_051714,F,P,AHY,N,,106.6,22.016412,-160.094065,,,,JF,,
LEH2014BRBO003A,22,256,Kauai,Lehua,Lehua,LEH,BRBO,2014,EC,3,Y,634,5/13/2014 12:00,1,120,,D,SDC,Early Chick,2,4,5/15/2014,17:20,17:30,-10,5/16/2014 3:30,2017-24339,L,,0,0,,,N,N,N,,,Y,A10323,,M,P,AHY,Y,,,22.016484,-160.093869,,,,JF,,
LEH2014BRBO003A,10,256,Kauai,Lehua,Lehua,LEH,BRBO,2014,EC,3,Y,634,5/13/2014 12:00,1,120,,R,SDC,Early Chick,2,4,5/17/2014,18:45,18:57,-10,5/18/2014 4:45,2017-24339,L,,3,1,GPS tag flooded,,Y,Y,N,LEH_BRBO_003_24339_634_051714,,Y,A10323,LEH_BRBO_003_24339_A10323_051714,M,P,AHY,N,1261,96,22.016484,-160.093869,,,,JF,,
LEH2014BRBO004A,23,257,Kauai,Lehua,Lehua,LEH,BRBO,2014,EC,4,Y,646,5/13/2014 12:00,1,120,,D,SDC,Early Chick,1,2,5/15/2014,18:07,18:17,-10,5/16/2014 4:17,2017-24338,L,,0,0,,,N,N,N,,,Y,A10355,,F,P,AHY,N,,,22.016695,-160.093482,,,,JF,,
LEH2014BRBO004A,11,257,Kauai,Lehua,Lehua,LEH,BRBO,2014,EC,4,Y,646,5/13/2014 12:00,1,120,,R,SDC,Early Chick,1,2,5/17/2014,19:15,19:27,-10,5/18/2014 5:15,2017-24338,L,,1,1,,,Y,Y,N,LEH_BRBO_004_24338_646_051714,,Y,A10355,LEH_BRBO_004_24338_A10355_051714,F,P,AHY,N,1261,103.3,22.016695,-160.093482,,,,JF,,
LEH2014BRBO005A,15,258,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,5,Y,632,5/13/2014 12:00,1,120,,D,LDC,Early Chick,1,,5/16/2014,18:00,18:12,-10,5/17/2014 4:12,1997-10710,L,,0,0,,,N,N,N,,,Y,A10354,,F,P,AHY,N,,,22.016765,-160.093024,,,,JF,,
LEH2014BRBO005A,1,258,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,5,Y,632,5/13/2014 12:00,1,120,,R,LDC,Early Chick,1,,5/18/2014,18:14,18:23,-10,5/19/2014 4:14,1997-10710,L,,1,1,,,Y,Y,N,LEH_BRBO_005_10710_632_051814,,Y,A10354,LEH_BRBO_005_10710_A10354_051814,F,P,AHY,N,1416,108.2,22.016765,-160.093024,,,,JF,,
