loc.data,FieldID,ID,Deploy_ID,Country,Island,Site,SubCol,SubCol_Code,Nest_Lat_DD,Nest_Long_DD,Col_Lat_DD,Col_Long_DD,Nest_loc_use,Species,Year,Phenology,NestNo,bird_order,GPS_Y_N,GPS_ID,tag _type,name,tag_on,GPS_programmed_start_datetime_local,DeplSess,GPS_Interval_seconds,acc_interval,duty,GPS_notes,Tagging_Event,Contents,Chick_Stage,Attach_date_time_local,Capture_time_local,Release_time_local,UTC_LocalTime_offset_hours,UTC,BandNo,Metal_R_L,other_aux,Aux_R_L,offset,GPS_TagRecov,TDR_TagRecov,Notes,Capture_loc,Blood_FTA,Blood_vial,Feathers,GPS_Track_File,revised_sample_no,TDR_Y_N,TDR_ID,TDR_File,Sex,How_Sexed,Age,Diet,Mass,Culmen,Date_Modified,Time_Modified,Wing,Preen,Processor,Chick % adult sz,Chick Primaries growing,recap_history,dorsal molt,vial_buffer,photo_rump,photo_undertail,class_field_notes,assigned_class,process_time_min,recap_history,capture_method,capture_injury,attach_method,postrelease_behavior,more_comments,Hatch Date,chick_death_status
0,Kure_2012_1517-65570,,1,USA,Kure,Kure,North pier colony,North pier colony,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,1,y,1884,eObs,na,"n,y",,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/21/12 15:54,na,na,-11,2/22/12 2:54,1517-65570,r,,,,n,na,,colony,y,na,,,,N,,,M,, 5.31.2003 9yrs,,na,,,,,,,,,Y,feathers edges slightly frayed,,y,y,photos,tbd,31,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,walked away from nest  preening at tag  sat near nest,"col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
1,Kure_2012_1517-65570,,2,USA,Kure,Kure,North pier colony,North pier colony,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,1,y,1884,eObs,na,y,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,3/3/12 13:13,na,na,-11,3/4/12 0:13,1517-65570,r,,,,n,na,,colony,na,na,,,,N,,,M,,,,na,,,,,,,,,,nt,,nt,nt,,tbd,1,recapture to activate tag,when finished feeding chick  stealth  2 persons  1 net,no capture injury ,na,walked away from nest before capture  after capture stayed in area for 5 minutes then flew away,"turned tag to  automode before release  successfully downloaded after release, col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
0,Kure_2012_1517-40902,,3,USA,Kure,Kure,Boat cove,Boat cove,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,2,y,1885,eObs,na,n,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/21/12 16:41,na,na,-11,2/22/12 3:41,1517-40902,r,,,,n,na,,colony,y,na,,,,N,,,M,,,,na,,,,,,,,,,feather edges good,,y,y,photos,tbd,25,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,walked away from nest  preening at tag and under wing,"col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
0,Kure_2012_1517-41244,,4,USA,Kure,Kure,North of pier,North of pier,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,3,y,1886,eObs,na,n,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/21/12 17:41,na,na,-11,2/22/12 4:41,1517-41244,r,,,,n,na,,colony,y,na,,,,N,,,M,,,,na,,,,,,,,,,feather edges medium.good,,y,y,photos,tbd,19,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,ran and flew away from nest,"regurgitated large piece of flesh saved, col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
1,Kure_2012_1517-67087,,5,USA,Kure,Kure,North of pier,North of pier,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,4,y,1887,eObs,na,y,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/22/12 10:15,na,na,-11,2/22/12 21:15,1517-67087,r,,,,n,na,,colony,y,na,,,,N,,,M,,6.11.2004 8 yrs,,na,,,,,,,,,,feather edges good,,y,y,photos,tbd,32,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,stood near chick  3 feet away,"cold morning abd feet  difficulty taking blood, col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
1,Kure_2012_1517-66000,,6,USA,Kure,Kure,Boat cove,Boat cove,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,5,y,1888,eObs,na,y,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/22/12 11:24,na,na,-11,2/22/12 22:24,1517-66000,r,,,,n,na,,colony,y,na,,,,N,,,F,,6.4.2003 9 yrs,,na,,,,,,,,,,feather edges frayed,,y,y,photos,tbd,14,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,flew away after release,"wheezing  rotten smell, col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
1,Kure_2012_1307-93629,,7,USA,Kure,Kure,North pier colony,North pier colony,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,6,y,1889,eObs,na,y,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/22/12 14:12,na,na,-11,2/23/12 1:12,1307-93629,r,,,,n,na,,colony,y,na,,,,N,,,M,,,,na,,,,,,,,,,feather edges slightly frayed,,y,y,photos,tbd,23,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,remained at release site  preening  at 15:12 resting - not near nest,"col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
1,Kure_2012_1517-64333,,8,USA,Kure,Kure,North side Boat cove,North side Boat cove,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,7,y,1890,eObs,na,y,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/22/12 15:29,na,na,-11,2/23/12 2:29,1517-64333,r,,,,n,na,,colony,y,na,,,,N,,,M,,6.1.2002 10 yrs,,na,,,,,,,,,,feather edges good,,y,y,photos,tbd,16,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,after release flew and landed in water for 2 minutes then took off,"regurgitated flying fish eggs  small pieces squid and slurry  collected 1 2 cup  cold morning and feet  difficulty taking blood, col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
1,Kure_2012_1517-66392,,9,USA,Kure,Kure,North of pier,North of pier,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,8,y,1891,eObs,na,y,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/23/12 9:30,na,na,-11,2/23/12 20:30,1517-66392,r,,,,n,na,,colony,y,na,,,,N,,,F,,6.13.2003 9 yrs,,na,,,,,,,,,,feather edges good,,y,y,photos,tbd,21,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,remained within 10 feet of nest  flapping wings and ruffling feathers  preening  went back to nest after 15 minutes,"cold morning and feet  difficulty taking blood, col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
1,Kure_2012_1517-51839,,10,USA,Kure,Kure,North of pier No Trespassing Sign ,North of pier No Trespassing Sign ,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,9,y,1892,eObs,na,y,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/23/12 10:22,na,na,-11,2/23/12 21:22,1517-51839,r,,,,n,na,,colony,y,na,,,,N,,,F,,6.4.2003 9 yrs,,na,,,,,,,,,,feather edges good,,y,y,photos,tbd,20,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,flew away immediately,"bird was light, col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
1,Kure_2012_1517-67621,,11,USA,Kure,Kure,North of pier,North of pier,,,28.393033,-178.292953,0,BFAL,2012,brooding through rearing,,10,y,1893,eObs,na,y,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/23/12 11:10,na,na,-11,2/23/12 22:10,1517-67621,r,,,,n,na,,colony,y,na,,,,N,,,F,,6.13.2004 8 yrs,,na,,,,,,,,,,feather edges good,,y,y,photos,tbd,20,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,preening  flapping wings  ruffling feathers  remaining within 10 feet of nest,"col lat lon 2012 study birds were centralized at the BFAL beach pier colony, within 0.5 km of eachother",,
1,Kure_2013_1517-95443,,12,USA,Kure,Kure,NW Central  ETA,NW central,,,28.393033,-178.292953,0,BFAL,2013,brooding through rearing,,1,y,2593,eObs,Ha hee,y,,,1200,120 sec,cont,"e obs, continuous 12hr, GPS 15 min, ACC 2 min",D,1C,Downy,2/20/13 12:40,na,na,-11,2/20/13 23:40,1517-95443,r,,,,n,na,,colony,na,,Y,,,N,,,F,,2005 8 years,,na,,,,,,,,,,feather edges slightly frayed,na,,nt,photos,tbd,18,,when finished feeding chick  stealth  hand capture  1 handler  ,no capture injury ,tape  epoxy back of tag  epoxy over tape ends,stayed in colony 20 ft from nest did not stop at nest  healthy bird  charged Nimz after release,"2013 study site was the east turnaround colony, over 1 km from the 2012 colony",,
