loc_data,UnfilteredDataInCompiledFile,FilteredDataInCompiledFile,ptt_deploy_id,band_no,animal_id,tag_id,species,year,deploy_site,site_abbrev,grouping_var_1,lat_deploc,dir1,lon_deploc,dir2,incl_deploy_loc,incl_recovery_loc,lat_colony,lon_colony,lat_end,lon_end,tag_sensors,datetime_deploy_UTC,datetime_recover_UTC,datetime_start_track_UTC,datetime_end_track_UTC,file_name,observer,Mass_kg,Length_cm,Girth_cm,tranmission duration,collab_point_contact_name,collab_point_contact_email,ptt_tagid,age,feather sample,blood sample,sex
1,0,0,1,1106-01245,110331,110331,COMU,2012,Columbia River Plume,CRP,,46.261,N,-124.13,W,1,0,,,,,,5/5/2012 7:14,,,6/11/2012 17:57,110331,JA,,,,,,,,,,,
1,0,0,2,1106-01243,110332,110332,COMU,2012,Columbia River Plume,CRP,,46.315,N,-124.112,W,1,0,,,,,,5/5/2012 6:22,,,5/24/2012 3:34,110332,JA,,,,,,,,,,,
1,0,0,3,1106-01255,110333,110333,COMU,2012,Columbia River Plume,CRP,,46.272,N,-124.16,W,1,0,,,,,,5/6/2012 7:45,,,7/16/2012 15:19,110333,JA,,,,,,,,,,,
1,0,0,4,1106-01246,110334,110334,COMU,2012,Columbia River Plume,CRP,,46.242,N,-124.096,W,1,0,,,,,,5/5/2012 7:30,,,6/3/2012 18:41,110334,JA,,,,,,,,,,,
1,0,0,5,1106-01247,110335,110335,COMU,2012,Columbia River Plume,CRP,,46.338,N,-124.128,W,1,0,,,,,,5/6/2012 5:17,,,7/10/2012 18:54,110335,JA,,,,,,,,,,,
1,0,0,6,1106-01248,110336,110336,COMU,2012,Columbia River Plume,CRP,,46.338,N,-124.128,W,1,0,,,,,,5/6/2012 5:34,,,7/18/2012 16:11,110336,JA,,,,,,,,,,,
1,0,0,7,1106-01249,110337,110337,COMU,2012,Columbia River Plume,CRP,,46.327,N,-124.141,W,1,0,,,,,,5/6/2012 5:51,,,7/10/2012 17:13,110337,JA,,,,,,,,,,,
1,0,0,8,1106-01250,110338,110338,COMU,2012,Columbia River Plume,CRP,,46.315,N,-124.134,W,1,0,,,,,,5/6/2012 6:37,,,7/13/2012 18:12,110338,JA,,,,,,,,,,,
1,0,0,9,1106-01257,110339,110339,COMU,2012,Columbia River Plume,CRP,,46.223,N,-124.173,W,1,0,,,,,,5/6/2012 8:20,,,7/5/2012 5:55,110339,JA,,,,,,,,,,,
1,0,0,10,1106-01253,110340,110340,COMU,2012,Columbia River Plume,CRP,,46.305,N,-124.148,W,1,0,,,,,,5/6/2012 7:13,,,5/15/2012 5:28,110340,JA,,,,,,,,,,,
